,연면적-철근·철골조[㎡],연면적-조적조[㎡],연면적-목조[㎡],연면적-기타(자재별)[㎡],연면적-주거용[㎡],연면적-상업용[㎡],연면적-공업용[㎡],연면적-교육및사회용[㎡],연면적-기타(용도별)[㎡],연면적-자재별[㎡],연면적-용도별[㎡],동수-철근·철골조[동수],동수-조적조[동수],동수-목조[동수],동수-기타(자재별)[동수],동수-주거용[동수],동수-상업용[동수],동수-공업용[동수],동수-교육및사회용[동수],동수-기타(용도별)[동수],동수-자재별[동수],동수-용도별[동수]
2002-04-01,10697878.0,259873.0,13354.0,32308.0,4683666.0,3712878.0,1362396.0,565202.0,679271.0,11003413.0,11003413.0,16041.0,2325.0,130.0,189.0,9213.0,5067.0,1842.0,576.0,1987.0,18685.0,18685.0
2002-05-01,14305686.0,244107.0,15066.0,25767.0,5213790.0,6006266.0,1801005.0,738477.0,831088.0,14590626.0,14590626.0,16981.0,2426.0,140.0,177.0,8584.0,5790.0,2356.0,695.0,2299.0,19724.0,19724.0
2002-06-01,7876353.0,151333.0,17516.0,13224.0,3097117.0,2844418.0,1164247.0,491445.0,461199.0,8058426.0,8058426.0,11606.0,1531.0,161.0,93.0,5862.0,3765.0,1840.0,438.0,1486.0,13391.0,13391.0
2002-07-01,8903094.0,145548.0,12233.0,17155.0,3259988.0,3549498.0,1173706.0,470813.0,624025.0,9078030.0,9078030.0,12012.0,1511.0,122.0,87.0,5819.0,4019.0,1786.0,437.0,1671.0,13732.0,13732.0
2002-08-01,7177536.0,132704.0,7847.0,7520.0,2792616.0,2572031.0,1060742.0,443375.0,456843.0,7325607.0,7325607.0,11315.0,1388.0,78.0,51.0,5544.0,3708.0,1712.0,475.0,1393.0,12832.0,12832.0
2002-09-01,7503516.0,131840.0,13874.0,3516.0,2924887.0,2648761.0,1136924.0,476518.0,465656.0,7652746.0,7652746.0,10950.0,1419.0,116.0,30.0,5234.0,3658.0,1729.0,511.0,1383.0,12515.0,12515.0
2002-10-01,11307088.0,167744.0,16062.0,3158.0,3841872.0,4559602.0,1731164.0,619303.0,742111.0,11494052.0,11494052.0,14291.0,1999.0,146.0,15.0,7280.0,4580.0,2063.0,563.0,1965.0,16451.0,16451.0
2002-11-01,8249548.0,130328.0,13337.0,1054.0,3018621.0,3015459.0,1252996.0,468479.0,638712.0,8394267.0,8394267.0,11655.0,1407.0,124.0,7.0,5168.0,3906.0,1717.0,523.0,1879.0,13193.0,13193.0
2002-12-01,7372900.0,87056.0,7768.0,1984.0,2543213.0,2540307.0,1136806.0,550025.0,699357.0,7469708.0,7469708.0,8600.0,1105.0,89.0,10.0,3260.0,2937.0,1542.0,417.0,1648.0,9804.0,9804.0
2003-01-01,6022901.0,65677.0,7385.0,539.0,1627288.0,2461173.0,1159124.0,427708.0,421209.0,6096502.0,6096502.0,6938.0,769.0,105.0,5.0,2410.0,2508.0,1361.0,340.0,1198.0,7817.0,7817.0
2003-02-01,7344636.0,76701.0,13347.0,158.0,2642744.0,2793531.0,921330.0,696565.0,380672.0,7434842.0,7434842.0,8561.0,872.0,97.0,2.0,3718.0,2989.0,1447.0,404.0,974.0,9532.0,9532.0
2003-03-01,8424311.0,159531.0,19628.0,375.0,2889451.0,3474453.0,1085299.0,521160.0,633482.0,8603845.0,8603845.0,11973.0,1674.0,102.0,2.0,5793.0,4407.0,1676.0,451.0,1424.0,13751.0,13751.0
2003-04-01,10168772.0,191862.0,16736.0,294.0,3654504.0,4098453.0,1331011.0,512629.0,781067.0,10377664.0,10377664.0,12432.0,2058.0,181.0,5.0,6035.0,4459.0,1925.0,455.0,1802.0,14676.0,14676.0
2003-05-01,8581948.0,145203.0,12484.0,97.0,3313691.0,3037308.0,1209869.0,529240.0,649624.0,8739732.0,8739732.0,11379.0,1643.0,124.0,3.0,5382.0,4123.0,1634.0,515.0,1495.0,13149.0,13149.0
2003-06-01,14745871.0,154936.0,94658.0,826.0,6600739.0,5750508.0,1002813.0,836633.0,805598.0,14996291.0,14996291.0,17138.0,1514.0,110.0,3.0,8951.0,6129.0,1590.0,550.0,1545.0,18765.0,18765.0
2003-07-01,10890093.0,121932.0,16594.0,581.0,4345376.0,3475879.0,1490908.0,1151228.0,565809.0,11029200.0,11029200.0,12052.0,1336.0,148.0,12.0,5718.0,4265.0,1522.0,550.0,1493.0,13548.0,13548.0
2003-08-01,8051225.0,113967.0,14612.0,1373.0,2875070.0,2859998.0,1119943.0,536691.0,789475.0,8181177.0,8181177.0,9546.0,1293.0,162.0,11.0,4083.0,3466.0,1429.0,564.0,1470.0,11012.0,11012.0
2003-09-01,6466304.0,106165.0,23920.0,1558.0,2700434.0,2041964.0,921785.0,441531.0,492233.0,6597947.0,6597947.0,8498.0,1165.0,153.0,9.0,3684.0,3166.0,1258.0,452.0,1265.0,9825.0,9825.0
2003-10-01,9303831.0,178955.0,15098.0,3234.0,4452379.0,2699857.0,1010940.0,488755.0,849187.0,9501118.0,9501118.0,11182.0,1906.0,131.0,3.0,4905.0,4092.0,1689.0,654.0,1882.0,13222.0,13222.0
2003-11-01,8005993.0,99652.0,17373.0,338.0,3406007.0,2319227.0,1054189.0,570899.0,773034.0,8123356.0,8123356.0,8960.0,1293.0,141.0,8.0,3464.0,3212.0,1580.0,442.0,1704.0,10402.0,10402.0
2003-12-01,9186647.0,79124.0,17459.0,0.0,3552028.0,3257428.0,904963.0,588466.0,980345.0,9283230.0,9283230.0,8164.0,1044.0,141.0,0.0,2850.0,2891.0,1483.0,470.0,1655.0,9349.0,9349.0
2004-01-01,4547654.0,48090.0,10804.0,25.0,1196476.0,1800731.0,988765.0,305599.0,315002.0,4606573.0,4606573.0,4967.0,580.0,113.0,1.0,1650.0,1893.0,1066.0,269.0,783.0,5661.0,5661.0
2004-02-01,6274505.0,183581.0,10921.0,0.0,2126741.0,2012309.0,853979.0,481927.0,994051.0,6469007.0,6469007.0,7669.0,917.0,81.0,0.0,2877.0,2878.0,1313.0,453.0,1146.0,8667.0,8667.0
2004-03-01,9501075.0,153713.0,136356.0,0.0,4116061.0,2873704.0,1327957.0,595916.0,877506.0,9791144.0,9791144.0,10974.0,1800.0,201.0,0.0,5033.0,4031.0,1657.0,477.0,1777.0,12975.0,12975.0
2004-04-01,7292600.0,183487.0,26191.0,0.0,2492311.0,2738559.0,929831.0,619158.0,722419.0,7502278.0,7502278.0,10229.0,1851.0,213.0,0.0,4553.0,3761.0,1512.0,547.0,1920.0,12293.0,12293.0
2004-05-01,7866338.0,134809.0,19292.0,0.0,2980978.0,2468974.0,1022873.0,517058.0,1030556.0,8020439.0,8020439.0,9246.0,1362.0,182.0,0.0,3870.0,3427.0,1380.0,499.0,1614.0,10790.0,10790.0
2004-06-01,11354723.0,96671.0,19841.0,0.0,5860223.0,2851044.0,956574.0,489102.0,1314292.0,11471235.0,11471235.0,9757.0,1254.0,171.0,0.0,3696.0,3689.0,1507.0,506.0,1784.0,11182.0,11182.0
2004-07-01,8465346.0,99427.0,19772.0,0.0,3249995.0,3084450.0,990873.0,538145.0,721082.0,8584545.0,8584545.0,8833.0,1198.0,165.0,0.0,3115.0,3233.0,1724.0,554.0,1570.0,10196.0,10196.0
2004-08-01,7014931.0,77375.0,13169.0,0.0,2659948.0,1991695.0,1446252.0,434023.0,573557.0,7105475.0,7105475.0,7653.0,1041.0,143.0,0.0,2637.0,2679.0,1684.0,481.0,1356.0,8837.0,8837.0
2004-09-01,6276557.0,75764.0,15732.0,0.0,2174344.0,2077692.0,913501.0,409126.0,793390.0,6368053.0,6368053.0,7498.0,981.0,158.0,0.0,2709.0,2695.0,1187.0,582.0,1464.0,8637.0,8637.0
2004-10-01,8395103.0,95429.0,17650.0,98.0,3988907.0,1958449.0,915824.0,628408.0,1016692.0,8508280.0,8508280.0,8998.0,1227.0,167.0,1.0,3225.0,3220.0,1571.0,677.0,1700.0,10393.0,10393.0
2004-11-01,6371169.0,82081.0,24975.0,0.0,2170650.0,1756933.0,885823.0,680718.0,984101.0,6478225.0,6478225.0,8858.0,1072.0,190.0,0.0,2716.0,2950.0,1648.0,634.0,2172.0,10120.0,10120.0
2004-12-01,6285481.0,75103.0,13847.0,49.0,1569916.0,1629577.0,1677177.0,739832.0,757978.0,6374480.0,6374480.0,8329.0,932.0,158.0,1.0,2108.0,2811.0,1808.0,703.0,1990.0,9420.0,9420.0
2005-01-01,5308449.0,38805.0,13527.0,0.0,1315389.0,1965327.0,1043633.0,486391.0,550041.0,5360781.0,5360781.0,6018.0,578.0,109.0,0.0,1491.0,1968.0,1581.0,435.0,1230.0,6705.0,6705.0
2005-02-01,4682771.0,36004.0,8912.0,0.0,1965687.0,939101.0,752185.0,417542.0,653172.0,4727687.0,4727687.0,4832.0,501.0,81.0,0.0,1389.0,1643.0,1053.0,301.0,1028.0,5414.0,5414.0
2005-03-01,8602117.0,93109.0,23717.0,189.0,3522032.0,2243009.0,1195732.0,873149.0,885210.0,8719132.0,8719132.0,9694.0,1156.0,206.0,1.0,3620.0,3327.0,1650.0,572.0,1888.0,11057.0,11057.0
2005-04-01,9488596.0,103256.0,18718.0,40.0,4383365.0,2210902.0,1227228.0,632205.0,1156910.0,9610610.0,9610610.0,10414.0,1262.0,210.0,1.0,3892.0,3537.0,1799.0,601.0,2058.0,11887.0,11887.0
2005-05-01,8550194.0,117898.0,23725.0,0.0,3753744.0,1950714.0,1103430.0,691827.0,1192102.0,8691817.0,8691817.0,10342.0,1434.0,194.0,0.0,3858.0,3430.0,1867.0,655.0,2160.0,11970.0,11970.0
2005-06-01,7010775.0,115425.0,21558.0,0.0,2743941.0,2045287.0,1036926.0,519976.0,801628.0,7147758.0,7147758.0,9172.0,1041.0,202.0,0.0,3173.0,3129.0,1705.0,570.0,1838.0,10415.0,10415.0
2005-07-01,6384569.0,66668.0,17663.0,165.0,1767840.0,1938089.0,1283647.0,711184.0,768305.0,6469065.0,6469065.0,7858.0,857.0,191.0,2.0,2538.0,2856.0,1550.0,540.0,1424.0,8908.0,8908.0
2005-08-01,6405602.0,132966.0,15526.0,344.0,2244451.0,1837182.0,1309120.0,574453.0,589232.0,6554438.0,6554438.0,8122.0,885.0,144.0,2.0,2659.0,2874.0,1617.0,549.0,1454.0,9153.0,9153.0
2005-09-01,6263745.0,68054.0,13909.0,0.0,2185586.0,1501489.0,1328014.0,377031.0,953608.0,6345708.0,6345708.0,8392.0,962.0,183.0,0.0,2746.0,2801.0,1717.0,556.0,1717.0,9537.0,9537.0
2005-10-01,6626646.0,75133.0,13244.0,0.0,2232129.0,1982896.0,1116459.0,507773.0,875766.0,6715023.0,6715023.0,8848.0,995.0,140.0,0.0,2774.0,3038.0,1655.0,692.0,1824.0,9983.0,9983.0
2005-11-01,8178522.0,77413.0,22882.0,0.0,3641090.0,1645480.0,1265283.0,661646.0,1065318.0,8278817.0,8278817.0,9830.0,1070.0,224.0,0.0,2713.0,3124.0,2162.0,816.0,2309.0,11124.0,11124.0
2005-12-01,5504078.0,50342.0,11545.0,0.0,1747207.0,1504510.0,1058424.0,538751.0,717073.0,5565965.0,5565965.0,7618.0,674.0,109.0,0.0,1857.0,2461.0,1824.0,483.0,1776.0,8401.0,8401.0
2006-01-01,3964042.0,38359.0,13605.0,0.0,1016271.0,1155951.0,982407.0,363926.0,497451.0,4016006.0,4016006.0,5933.0,539.0,111.0,0.0,1382.0,1921.0,1477.0,404.0,1399.0,6583.0,6583.0
2006-02-01,6380489.0,36371.0,11399.0,0.0,2635073.0,1447377.0,1089579.0,436441.0,819789.0,6428259.0,6428259.0,7282.0,590.0,149.0,0.0,2296.0,2309.0,1429.0,528.0,1459.0,8021.0,8021.0
2006-03-01,6905346.0,94804.0,22683.0,0.0,2203712.0,1763000.0,1348099.0,649087.0,1058935.0,7022833.0,7022833.0,11115.0,1245.0,247.0,0.0,3581.0,3571.0,2354.0,633.0,2468.0,12607.0,12607.0
2006-04-01,7503782.0,88258.0,27823.0,0.0,2821968.0,1744658.0,1310982.0,617645.0,1124610.0,7619863.0,7619863.0,10593.0,1178.0,274.0,0.0,3778.0,3277.0,1789.0,630.0,2571.0,12045.0,12045.0
2006-05-01,7271847.0,99071.0,29735.0,0.0,2559673.0,1897762.0,1153123.0,682428.0,1107667.0,7400653.0,7400653.0,11102.0,1275.0,293.0,0.0,4113.0,3441.0,1891.0,617.0,2608.0,12670.0,12670.0
2006-06-01,8731963.0,113230.0,33781.0,18.0,3462348.0,1958421.0,1377719.0,564583.0,1515921.0,8878992.0,8878992.0,11875.0,1532.0,397.0,2.0,4179.0,3407.0,2245.0,751.0,3224.0,13806.0,13806.0
2006-07-01,6546881.0,99391.0,26770.0,1020.0,1877027.0,1664484.0,1133680.0,967010.0,1031861.0,6674062.0,6674062.0,10395.0,1316.0,299.0,15.0,3290.0,3363.0,1967.0,536.0,2869.0,12025.0,12025.0
2006-08-01,7349190.0,106582.0,37332.0,759.0,1996641.0,2418800.0,1454966.0,650099.0,973357.0,7493863.0,7493863.0,11582.0,1437.0,427.0,23.0,4103.0,3755.0,2198.0,704.0,2709.0,13469.0,13469.0
2006-09-01,6335929.0,129886.0,44130.0,9024.0,1628142.0,1737490.0,1272008.0,820659.0,1060670.0,6518969.0,6518969.0,12371.0,1752.0,515.0,62.0,4983.0,3749.0,2225.0,780.0,2963.0,14700.0,14700.0
2006-10-01,6969764.0,101589.0,36982.0,14330.0,2504766.0,1798595.0,1217630.0,596243.0,1005431.0,7122665.0,7122665.0,11121.0,1440.0,479.0,88.0,4159.0,3455.0,1958.0,700.0,2856.0,13128.0,13128.0
2006-11-01,8263425.0,109162.0,43488.0,6701.0,3066045.0,1814176.0,1434111.0,616650.0,1491794.0,8422776.0,8422776.0,13422.0,1552.0,559.0,111.0,4562.0,4146.0,2291.0,854.0,3791.0,15644.0,15644.0
2006-12-01,7159114.0,69222.0,37662.0,5404.0,2661639.0,1569805.0,1305845.0,564852.0,1169261.0,7271402.0,7271402.0,10673.0,1115.0,453.0,101.0,3311.0,3235.0,2185.0,661.0,2950.0,12342.0,12342.0
2007-01-01,4900201.0,58543.0,33747.0,2953.0,1288508.0,1446985.0,1081863.0,499745.0,678343.0,4995444.0,4995444.0,8735.0,864.0,384.0,55.0,2839.0,2991.0,1775.0,530.0,1903.0,10038.0,10038.0
2007-02-01,6140836.0,63392.0,30203.0,3385.0,1766833.0,1946103.0,1333596.0,469848.0,721436.0,6237816.0,6237816.0,8781.0,832.0,337.0,81.0,3087.0,3118.0,1595.0,511.0,1720.0,10031.0,10031.0
2007-03-01,7638729.0,140240.0,59429.0,5765.0,2378402.0,2454944.0,1355061.0,765507.0,890249.0,7844163.0,7844163.0,14651.0,1824.0,676.0,112.0,6426.0,4719.0,2229.0,892.0,2997.0,17263.0,17263.0
2007-04-01,9922527.0,148540.0,62073.0,10688.0,3329549.0,2868172.0,1504430.0,1091710.0,1349967.0,10143828.0,10143828.0,15467.0,1968.0,754.0,146.0,6604.0,4905.0,2158.0,756.0,3912.0,18335.0,18335.0
2007-05-01,9600639.0,139684.0,71530.0,8180.0,3132459.0,2135344.0,2149255.0,851832.0,1551143.0,9820033.0,9820033.0,16030.0,1781.0,740.0,136.0,6523.0,5131.0,2402.0,858.0,3773.0,18687.0,18687.0
2007-06-01,9655064.0,121468.0,46513.0,7485.0,4551073.0,1963026.0,1192461.0,598749.0,1525221.0,9830530.0,9830530.0,13216.0,1538.0,564.0,118.0,5484.0,4175.0,2027.0,633.0,3117.0,15436.0,15436.0
2007-07-01,7778247.0,110001.0,38973.0,5737.0,2829100.0,2040280.0,1330944.0,568347.0,1164287.0,7932958.0,7932958.0,12265.0,1470.0,505.0,115.0,4823.0,3905.0,1796.0,754.0,3077.0,14355.0,14355.0
2007-08-01,8340355.0,127284.0,45549.0,79628.0,3308548.0,1959922.0,1434490.0,766880.0,1122976.0,8592816.0,8592816.0,12560.0,1579.0,581.0,124.0,5247.0,3860.0,1944.0,811.0,2982.0,14844.0,14844.0
2007-09-01,5867247.0,90146.0,39929.0,6215.0,2358728.0,1383082.0,786738.0,467887.0,1007102.0,6003537.0,6003537.0,10312.0,1210.0,484.0,104.0,4285.0,3357.0,1420.0,633.0,2415.0,12110.0,12110.0
2007-10-01,8072757.0,132316.0,61122.0,12076.0,2201127.0,1947707.0,1400825.0,1467303.0,1261309.0,8278271.0,8278271.0,15260.0,1745.0,708.0,192.0,6004.0,4939.0,2210.0,859.0,3893.0,17905.0,17905.0
2007-11-01,10885488.0,114304.0,54708.0,12597.0,4358046.0,3257203.0,1259653.0,583506.0,1608689.0,11067097.0,11067097.0,14308.0,1485.0,676.0,121.0,5174.0,4395.0,2019.0,756.0,4246.0,16590.0,16590.0
2007-12-01,5770804.0,80602.0,47185.0,4948.0,1241500.0,1768250.0,1325041.0,551218.0,1017530.0,5903539.0,5903539.0,11631.0,1129.0,557.0,104.0,3769.0,3732.0,1829.0,575.0,3516.0,13421.0,13421.0
2008-01-01,5835651.0,66544.0,50271.0,4438.0,1548098.0,1751750.0,1279504.0,551606.0,825946.0,5956904.0,5956904.0,10351.0,867.0,609.0,75.0,3454.0,3531.0,1814.0,653.0,2450.0,11902.0,11902.0
2008-02-01,3907641.0,59698.0,26811.0,3929.0,748497.0,1503441.0,817391.0,353376.0,575374.0,3998079.0,3998079.0,8516.0,745.0,332.0,75.0,3209.0,2727.0,1327.0,428.0,1977.0,9668.0,9668.0
2008-03-01,6423508.0,130026.0,56364.0,6015.0,1240043.0,1948182.0,1569247.0,789809.0,1068632.0,6615913.0,6615913.0,14345.0,1582.0,626.0,98.0,6056.0,4675.0,2165.0,610.0,3145.0,16651.0,16651.0
2008-04-01,6851017.0,169827.0,66428.0,5905.0,1569782.0,2119799.0,1849016.0,571533.0,983047.0,7093177.0,7093177.0,16407.0,2094.0,773.0,77.0,7537.0,5284.0,2251.0,719.0,3560.0,19351.0,19351.0
2008-05-01,8114099.0,163804.0,67950.0,3398.0,1548865.0,3372606.0,1588447.0,893370.0,945963.0,8349251.0,8349251.0,16228.0,1825.0,791.0,56.0,6908.0,5620.0,2188.0,806.0,3378.0,18900.0,18900.0
2008-06-01,6193013.0,130194.0,57230.0,3437.0,1328226.0,2049074.0,1491930.0,617470.0,897174.0,6383874.0,6383874.0,13920.0,1637.0,682.0,101.0,5962.0,4453.0,2001.0,706.0,3218.0,16340.0,16340.0
2008-07-01,6863112.0,133696.0,57486.0,3891.0,1320807.0,2268446.0,1724795.0,788445.0,955692.0,7058185.0,7058185.0,14070.0,1750.0,793.0,37.0,6156.0,4602.0,1960.0,778.0,3154.0,16650.0,16650.0
2008-08-01,4949564.0,96096.0,48268.0,2498.0,1134701.0,1528232.0,1237350.0,515731.0,680412.0,5096426.0,5096426.0,11608.0,1327.0,647.0,43.0,5106.0,3599.0,1538.0,764.0,2618.0,13625.0,13625.0
2008-09-01,5339234.0,108325.0,56812.0,2897.0,1132277.0,2059606.0,1071728.0,597593.0,646064.0,5507268.0,5507268.0,12375.0,1531.0,783.0,34.0,5450.0,4106.0,1556.0,783.0,2828.0,14723.0,14723.0
2008-10-01,5483245.0,133739.0,73684.0,1992.0,1238028.0,1656766.0,1323752.0,631271.0,842843.0,5692660.0,5692660.0,13842.0,1811.0,797.0,30.0,5927.0,4447.0,1767.0,905.0,3434.0,16480.0,16480.0
2008-11-01,6086022.0,99094.0,53160.0,1783.0,1387907.0,2008984.0,1355261.0,716951.0,770956.0,6240059.0,6240059.0,11298.0,1368.0,704.0,50.0,4397.0,3626.0,1397.0,799.0,3201.0,13420.0,13420.0
2008-12-01,7077349.0,72402.0,50194.0,2394.0,1466213.0,1353095.0,1331170.0,1937855.0,1114006.0,7202339.0,7202339.0,11960.0,1250.0,654.0,29.0,3781.0,3731.0,1962.0,727.0,3692.0,13893.0,13893.0
2009-01-01,3573393.0,43452.0,29166.0,1035.0,768076.0,745554.0,693990.0,682275.0,757151.0,3647046.0,3647046.0,6186.0,648.0,372.0,19.0,2049.0,1989.0,820.0,522.0,1845.0,7225.0,7225.0
2009-02-01,2941552.0,65820.0,40426.0,835.0,650093.0,960706.0,512778.0,395872.0,529184.0,3048633.0,3048633.0,7731.0,903.0,503.0,15.0,2893.0,2604.0,909.0,528.0,2218.0,9152.0,9152.0
2009-03-01,5863895.0,123777.0,59497.0,984.0,2243237.0,1328550.0,508022.0,715452.0,1252892.0,6048153.0,6048153.0,12073.0,1627.0,801.0,19.0,5515.0,3610.0,1309.0,850.0,3236.0,14520.0,14520.0
2009-04-01,5230699.0,161965.0,66121.0,2589.0,1456441.0,1294657.0,804708.0,785183.0,1120385.0,5461374.0,5461374.0,13832.0,2180.0,870.0,34.0,6388.0,4245.0,1487.0,871.0,3925.0,16916.0,16916.0
2009-05-01,5243569.0,129405.0,67150.0,2447.0,1321052.0,1601949.0,1026894.0,513890.0,978786.0,5442571.0,5442571.0,12468.0,1647.0,859.0,29.0,5510.0,3786.0,1476.0,729.0,3502.0,15003.0,15003.0
2009-06-01,5744601.0,123733.0,70383.0,6595.0,1427111.0,1837999.0,900942.0,763797.0,1015463.0,5945312.0,5945312.0,13564.0,1699.0,943.0,46.0,5950.0,4210.0,1565.0,862.0,3665.0,16252.0,16252.0
2009-07-01,5316342.0,107161.0,70889.0,7601.0,1249677.0,1742728.0,732385.0,923638.0,853565.0,5501993.0,5501993.0,12184.0,1452.0,992.0,145.0,5598.0,3808.0,1447.0,878.0,3042.0,14773.0,14773.0
2009-08-01,6286854.0,90862.0,68390.0,5643.0,2816968.0,1174209.0,773859.0,625356.0,1061357.0,6451749.0,6451749.0,11450.0,1149.0,834.0,79.0,5302.0,3501.0,1486.0,748.0,2475.0,13512.0,13512.0
2009-09-01,6316017.0,115220.0,65862.0,3456.0,1689373.0,1982459.0,1209034.0,628524.0,991165.0,6500555.0,6500555.0,13557.0,1519.0,836.0,86.0,6506.0,4075.0,1670.0,763.0,2984.0,15998.0,15998.0
2009-10-01,7710111.0,98969.0,57311.0,5057.0,3132671.0,1679978.0,1081813.0,556220.0,1420766.0,7871448.0,7871448.0,13740.0,1350.0,691.0,93.0,6375.0,3898.0,1626.0,689.0,3286.0,15874.0,15874.0
2009-11-01,6787383.0,95037.0,76430.0,4518.0,2052121.0,1704114.0,1125229.0,493419.0,1588485.0,6963368.0,6963368.0,13612.0,1327.0,922.0,102.0,6033.0,4053.0,1757.0,790.0,3330.0,15963.0,15963.0
2009-12-01,8226061.0,73418.0,63374.0,5873.0,3452191.0,1753740.0,1189857.0,588398.0,1384540.0,8368726.0,8368726.0,12958.0,1009.0,880.0,101.0,5071.0,3812.0,1853.0,957.0,3255.0,14948.0,14948.0
