,전국[호],부산[호],충북[호],충남[호],대구[호],대전[호],강원[호],광주[호],경기[호],인천[호],제주[호],전북[호],전남[호],경북[호],경남[호],민간부문[호],공공부문[호],부문별[호],세종[호],서울[호],울산[호]
2008-04-01,85628.0,3195.0,1969.0,5998.0,8712.0,4671.0,2893.0,3298.0,15048.0,5017.0,1360.0,2378.0,2391.0,3362.0,3921.0,79352.0,6276.0,85628.0,,19630.0,1785.0
2008-05-01,111627.0,5516.0,2846.0,7476.0,8769.0,4813.0,4372.0,3298.0,19334.0,7544.0,1424.0,2670.0,2752.0,4716.0,7801.0,102827.0,8800.0,111627.0,,25899.0,2397.0
2008-06-01,132260.0,5867.0,3621.0,9612.0,12072.0,5110.0,4779.0,431.0,22619.0,9625.0,1512.0,3263.0,3138.0,5543.0,11545.0,113566.0,18694.0,132260.0,,30952.0,2571.0
2008-07-01,155065.0,5980.0,3934.0,10060.0,12834.0,5146.0,5308.0,477.0,30222.0,13026.0,1558.0,4486.0,3345.0,7400.0,13233.0,133952.0,21113.0,155065.0,,35340.0,2716.0
2008-08-01,177151.0,6093.0,4215.0,10371.0,13931.0,5227.0,5613.0,510.0,39797.0,16142.0,2254.0,4768.0,4295.0,9435.0,13931.0,148142.0,29009.0,177151.0,,37749.0,2820.0
2008-09-01,195885.0,6143.0,5041.0,10951.0,14634.0,5296.0,6872.0,815.0,43094.0,17688.0,3214.0,7086.0,4593.0,11301.0,15718.0,162115.0,33770.0,195885.0,,39271.0,4168.0
2008-10-01,217631.0,6334.0,6213.0,13153.0,14708.0,6267.0,7830.0,882.0,51323.0,18936.0,3632.0,8336.0,5145.0,12246.0,17368.0,177639.0,39992.0,217631.0,,40792.0,4466.0
2008-11-01,250034.0,8433.0,7695.0,14628.0,14764.0,7988.0,8610.0,2204.0,67144.0,19546.0,4114.0,8964.0,5499.0,13099.0,20272.0,191622.0,58412.0,250034.0,,42395.0,4679.0
2008-12-01,371285.0,13594.0,10014.0,21657.0,22880.0,14556.0,13235.0,3945.0,115531.0,33632.0,4759.0,12063.0,10849.0,15881.0,24375.0,230125.0,141160.0,371285.0,,48417.0,5897.0
2009-01-01,9363.0,74.0,1956.0,1592.0,25.0,15.0,1306.0,30.0,1825.0,496.0,42.0,127.0,174.0,543.0,322.0,5427.0,3936.0,9363.0,,764.0,72.0
2009-02-01,19817.0,115.0,2219.0,1869.0,63.0,683.0,1543.0,569.0,3588.0,3007.0,77.0,1196.0,532.0,892.0,668.0,14553.0,5264.0,19817.0,,2616.0,180.0
2009-03-01,33944.0,248.0,2800.0,2353.0,120.0,750.0,2220.0,647.0,8491.0,5286.0,153.0,2160.0,948.0,1832.0,1572.0,27140.0,6804.0,33944.0,,3872.0,492.0
2009-04-01,50330.0,696.0,3176.0,2926.0,820.0,812.0,2714.0,741.0,11107.0,8929.0,260.0,2548.0,1665.0,5206.0,2385.0,42058.0,8272.0,50330.0,,5684.0,661.0
2009-05-01,67180.0,837.0,3988.0,3435.0,896.0,867.0,4780.0,818.0,13979.0,11486.0,978.0,2874.0,2128.0,6932.0,3377.0,57505.0,9675.0,67180.0,,9043.0,762.0
2009-06-01,98961.0,1439.0,4371.0,10765.0,956.0,953.0,6846.0,877.0,23800.0,13363.0,1075.0,4832.0,3733.0,8282.0,6361.0,70327.0,28634.0,98961.0,,10429.0,879.0
2009-07-01,122026.0,1686.0,4755.0,12123.0,2145.0,1026.0,7331.0,1654.0,29111.0,20794.0,1207.0,7724.0,4306.0,9018.0,6977.0,92466.0,29560.0,122026.0,,11194.0,975.0
2009-08-01,145892.0,2122.0,5260.0,15099.0,2223.0,1155.0,7715.0,1717.0,35401.0,28390.0,1356.0,7981.0,5655.0,9497.0,7497.0,112056.0,33836.0,145892.0,,12097.0,2727.0
2009-09-01,178093.0,3163.0,6955.0,16935.0,2347.0,1413.0,8152.0,1796.0,50413.0,31463.0,1503.0,8339.0,6154.0,10842.0,11960.0,137383.0,40710.0,178093.0,,13760.0,2898.0
2009-10-01,202543.0,3447.0,7398.0,17425.0,2479.0,1614.0,8566.0,2071.0,60572.0,35280.0,1652.0,9448.0,6612.0,11688.0,15064.0,159934.0,42609.0,202543.0,,16190.0,3037.0
2009-11-01,236282.0,5420.0,7735.0,17876.0,2595.0,1768.0,9532.0,2944.0,75315.0,42793.0,1972.0,9736.0,7072.0,12195.0,16411.0,186871.0,49411.0,236282.0,,19710.0,3208.0
2009-12-01,381787.0,6506.0,11537.0,22860.0,6645.0,1849.0,12312.0,5024.0,159549.0,59519.0,2115.0,11634.0,8984.0,13316.0,17119.0,213487.0,168300.0,381787.0,,36090.0,6728.0
2010-01-01,9282.0,466.0,262.0,337.0,312.0,53.0,267.0,38.0,2592.0,1442.0,151.0,156.0,255.0,557.0,826.0,8188.0,1094.0,9282.0,,1273.0,295.0
2010-02-01,24519.0,734.0,538.0,1326.0,377.0,124.0,800.0,108.0,8185.0,3756.0,386.0,351.0,569.0,975.0,3368.0,22992.0,1527.0,24519.0,,2509.0,413.0
2010-03-01,49548.0,1311.0,995.0,2113.0,466.0,532.0,1402.0,222.0,19336.0,4586.0,532.0,1594.0,1287.0,1907.0,5488.0,47119.0,2429.0,49548.0,,7208.0,569.0
2010-04-01,70625.0,1612.0,1528.0,2870.0,596.0,719.0,2613.0,789.0,26714.0,5884.0,737.0,3011.0,3575.0,2693.0,6356.0,67555.0,3070.0,70625.0,,10153.0,775.0
2010-05-01,91999.0,2216.0,1984.0,3587.0,733.0,1179.0,3262.0,2049.0,36389.0,6550.0,993.0,3728.0,4116.0,3620.0,8113.0,88893.0,3106.0,91999.0,,12570.0,910.0
2010-06-01,110309.0,2789.0,2451.0,4175.0,843.0,1375.0,3774.0,2124.0,40531.0,10602.0,1827.0,4135.0,5738.0,5513.0,9077.0,105627.0,4682.0,110309.0,,14047.0,1308.0
2010-07-01,127121.0,3461.0,3599.0,4944.0,1076.0,1688.0,4234.0,2188.0,45581.0,11781.0,2067.0,4453.0,8367.0,6451.0,9741.0,120757.0,6364.0,127121.0,,15765.0,1725.0
2010-08-01,142009.0,3881.0,4003.0,5439.0,1692.0,2164.0,4649.0,2265.0,49451.0,14119.0,2437.0,4720.0,8743.0,7396.0,10638.0,135885.0,6124.0,142009.0,,18299.0,2113.0
2010-09-01,163294.0,5816.0,4385.0,5906.0,1928.0,2635.0,4988.0,2339.0,53114.0,17947.0,2775.0,5580.0,10725.0,8138.0,12023.0,157170.0,6124.0,163294.0,,21815.0,3180.0
2010-10-01,190731.0,7086.0,4811.0,7377.0,2102.0,3045.0,5600.0,2658.0,65447.0,20702.0,3179.0,6459.0,12052.0,9280.0,12809.0,174447.0,16284.0,190731.0,,24624.0,3500.0
2010-11-01,229039.0,8003.0,5245.0,14017.0,2658.0,3197.0,6465.0,2912.0,83477.0,23275.0,3560.0,6855.0,13652.0,11793.0,13692.0,192723.0,36316.0,229039.0,,26491.0,3747.0
2010-12-01,386542.0,18331.0,8504.0,15331.0,4724.0,4034.0,9312.0,4487.0,143551.0,37477.0,4881.0,12299.0,17599.0,13684.0,18234.0,248227.0,138315.0,386542.0,,69190.0,4904.0
2011-01-01,18500.0,1292.0,386.0,528.0,148.0,507.0,346.0,628.0,3981.0,2007.0,454.0,176.0,407.0,849.0,1287.0,18420.0,80.0,18500.0,,4907.0,597.0
2011-02-01,37676.0,2340.0,1216.0,1126.0,257.0,740.0,653.0,826.0,7440.0,4177.0,915.0,406.0,802.0,2583.0,3970.0,36809.0,867.0,37676.0,,9513.0,712.0
2011-03-01,70529.0,6886.0,2393.0,2002.0,459.0,1083.0,1242.0,1171.0,16331.0,6104.0,2027.0,1139.0,2421.0,3614.0,7000.0,67798.0,2731.0,70529.0,,14611.0,2046.0
2011-04-01,111685.0,10526.0,3356.0,3163.0,1470.0,3194.0,1875.0,1826.0,25389.0,7510.0,3210.0,1835.0,4503.0,4683.0,10481.0,108134.0,3551.0,111685.0,,25231.0,3433.0
2011-05-01,144401.0,12677.0,4044.0,4665.0,1844.0,3497.0,2519.0,3844.0,31165.0,10482.0,3964.0,2594.0,6590.0,6437.0,13267.0,140287.0,4114.0,144401.0,,32534.0,4278.0
2011-06-01,176267.0,15019.0,5034.0,5832.0,2907.0,3812.0,3044.0,5239.0,35828.0,15522.0,4718.0,3331.0,8059.0,8215.0,15315.0,172057.0,4210.0,176267.0,,39655.0,4737.0
2011-07-01,214145.0,17210.0,5841.0,7732.0,3294.0,4317.0,3929.0,7857.0,45732.0,16985.0,5775.0,4304.0,9251.0,9211.0,20226.0,206584.0,7561.0,214145.0,,46035.0,6446.0
2011-08-01,255001.0,19569.0,8838.0,13008.0,3593.0,7910.0,5285.0,8358.0,53757.0,20880.0,6704.0,4899.0,10536.0,10361.0,23547.0,249140.0,5861.0,255001.0,,49403.0,8353.0
2011-09-01,299252.0,20966.0,9839.0,16275.0,5924.0,15240.0,6835.0,8868.0,62059.0,24158.0,7746.0,5781.0,11710.0,12116.0,26342.0,289081.0,10171.0,299252.0,,56679.0,8714.0
2011-10-01,359279.0,26937.0,10775.0,27445.0,6242.0,14302.0,9457.0,9383.0,82658.0,29878.0,8577.0,9297.0,12745.0,14292.0,27577.0,337364.0,21915.0,359279.0,,60644.0,9070.0
2011-11-01,401508.0,29947.0,12066.0,32229.0,6730.0,17818.0,9947.0,11451.0,90348.0,31589.0,9810.0,10818.0,13722.0,15095.0,30569.0,373065.0,28443.0,401508.0,,69049.0,10320.0
2011-12-01,549594.0,37256.0,18010.0,46794.0,12462.0,19736.0,12989.0,16059.0,148191.0,35905.0,13018.0,16117.0,15576.0,16936.0,39339.0,434245.0,115349.0,549594.0,,88060.0,13146.0
2012-01-01,29411.0,2183.0,431.0,1484.0,689.0,935.0,286.0,785.0,6008.0,3772.0,1279.0,1535.0,1566.0,1509.0,1417.0,27934.0,1477.0,29411.0,,4428.0,1104.0
2012-02-01,61503.0,3459.0,1591.0,3831.0,1546.0,1399.0,792.0,2036.0,12016.0,5733.0,1793.0,2886.0,2128.0,3652.0,5814.0,59597.0,1906.0,61503.0,,11071.0,1756.0
2012-03-01,99670.0,7163.0,2583.0,9289.0,1704.0,1747.0,1441.0,4291.0,17647.0,6662.0,2978.0,4383.0,4336.0,5297.0,10083.0,96375.0,3295.0,99670.0,,17350.0,2716.0
2012-04-01,141845.0,12815.0,6060.0,12994.0,2001.0,2291.0,2584.0,5913.0,28070.0,7399.0,4107.0,6368.0,5810.0,7032.0,11910.0,137073.0,4772.0,141845.0,,23459.0,3032.0
2012-05-01,187931.0,17328.0,8234.0,15894.0,3075.0,2597.0,3345.0,7207.0,37562.0,9335.0,5072.0,7801.0,11932.0,9328.0,15419.0,180279.0,7652.0,187931.0,,29439.0,4363.0
2012-06-01,238465.0,20664.0,10514.0,19644.0,3838.0,2951.0,4482.0,9437.0,46905.0,15639.0,6815.0,9528.0,13188.0,11153.0,22032.0,224786.0,13679.0,238465.0,,36304.0,5371.0
2012-07-01,282147.0,22565.0,5712.0,11237.0,4813.0,4070.0,154.0,12491.0,58655.0,17832.0,24704.0,21625.0,10807.0,14247.0,13373.0,265778.0,16369.0,282147.0,,46721.0,5640.0
2012-08-01,321177.0,27224.0,13437.0,26128.0,5138.0,4776.0,6552.0,12866.0,64704.0,18534.0,8971.0,12592.0,14975.0,14993.0,26096.0,303725.0,17452.0,321177.0,1936.0,54407.0,7848.0
2012-09-01,373393.0,32150.0,14283.0,28260.0,5431.0,5009.0,7847.0,15088.0,82220.0,21644.0,9411.0,14673.0,16571.0,19134.0,29301.0,353827.0,19566.0,373393.0,3704.0,60515.0,8152.0
2012-10-01,410301.0,33389.0,15412.0,29449.0,5613.0,5387.0,9054.0,15842.0,92860.0,21190.0,9784.0,16737.0,18009.0,21734.0,32447.0,385039.0,25262.0,410301.0,7360.0,67321.0,8713.0
2012-11-01,448146.0,35495.0,18264.0,31451.0,7294.0,5377.0,9728.0,17249.0,104696.0,21923.0,10145.0,17503.0,19066.0,23134.0,32782.0,423257.0,24889.0,448146.0,8829.0,76050.0,9160.0
2012-12-01,586884.0,42333.0,24773.0,44450.0,13012.0,6708.0,12156.0,19584.0,151035.0,32132.0,10256.0,24288.0,22222.0,25713.0,44760.0,477275.0,109609.0,586884.0,17588.0,86123.0,9751.0
2013-01-01,23952.0,1210.0,337.0,700.0,532.0,257.0,368.0,1359.0,6254.0,402.0,375.0,255.0,497.0,1740.0,5644.0,23382.0,570.0,23952.0,67.0,3789.0,166.0
2013-02-01,45543.0,3330.0,1712.0,3278.0,1178.0,310.0,1259.0,1479.0,10686.0,861.0,581.0,1066.0,1367.0,2565.0,7688.0,43792.0,1751.0,45543.0,1004.0,6879.0,300.0
2013-03-01,75594.0,4392.0,3909.0,5595.0,1387.0,438.0,1767.0,1824.0,16027.0,1246.0,952.0,3683.0,3387.0,3705.0,11531.0,72093.0,3501.0,75594.0,4266.0,11006.0,479.0
2013-04-01,106509.0,5347.0,5775.0,8508.0,1627.0,584.0,2825.0,2407.0,22266.0,2178.0,1809.0,4888.0,4432.0,6304.0,13780.0,102554.0,3955.0,106509.0,5870.0,16320.0,1589.0
2013-05-01,142055.0,10353.0,7280.0,10232.0,2337.0,835.0,3596.0,2915.0,27987.0,6896.0,2196.0,6063.0,5423.0,8710.0,16233.0,135842.0,6213.0,142055.0,6630.0,22526.0,1843.0
2013-06-01,180263.0,14693.0,9095.0,13424.0,2643.0,2193.0,4947.0,4257.0,35509.0,9135.0,3776.0,6890.0,7394.0,9976.0,17331.0,172337.0,7926.0,180263.0,7522.0,29335.0,2143.0
2013-07-01,216518.0,16438.0,11326.0,14687.0,3777.0,2543.0,5906.0,4473.0,44912.0,9854.0,4244.0,8256.0,7995.0,11949.0,19941.0,204728.0,11790.0,216518.0,7614.0,40065.0,2538.0
2013-08-01,248497.0,17740.0,13518.0,16507.0,5068.0,3213.0,7731.0,4836.0,50063.0,10616.0,4539.0,8944.0,8779.0,13138.0,23297.0,234621.0,13876.0,248497.0,8186.0,48859.0,3463.0
2013-09-01,282366.0,19240.0,15445.0,19608.0,5906.0,3829.0,8157.0,5003.0,58977.0,11571.0,4838.0,10504.0,9639.0,16733.0,25141.0,264617.0,17749.0,282366.0,9336.0,54411.0,4028.0
2013-10-01,315714.0,20278.0,16273.0,22194.0,8465.0,4988.0,9256.0,5775.0,66287.0,12392.0,5215.0,11250.0,10936.0,20948.0,26915.0,294971.0,20743.0,315714.0,9929.0,59904.0,4709.0
2013-11-01,355971.0,21817.0,18806.0,23321.0,11549.0,5060.0,10403.0,6861.0,74955.0,12619.0,5506.0,12734.0,14025.0,21860.0,31912.0,324898.0,31073.0,355971.0,14358.0,65304.0,4881.0
2013-12-01,440116.0,29922.0,19267.0,32343.0,18078.0,5180.0,12964.0,8454.0,96082.0,18907.0,6309.0,13179.0,20061.0,23878.0,34683.0,360497.0,79619.0,440116.0,17844.0,77621.0,5344.0
2014-01-01,24602.0,530.0,467.0,1563.0,1108.0,238.0,318.0,72.0,7540.0,445.0,357.0,834.0,1317.0,2533.0,2359.0,23483.0,1119.0,24602.0,297.0,4111.0,513.0
2014-02-01,54309.0,958.0,2192.0,2764.0,1406.0,389.0,1415.0,217.0,15395.0,1909.0,1441.0,1425.0,4882.0,3731.0,4795.0,50356.0,3953.0,54309.0,484.0,7112.0,3794.0
2014-03-01,93278.0,2856.0,5038.0,4810.0,2119.0,651.0,3080.0,1028.0,27182.0,3301.0,1877.0,4453.0,6119.0,5284.0,8849.0,89280.0,3998.0,93278.0,1230.0,11371.0,4030.0
2014-04-01,135984.0,4123.0,7998.0,8394.0,2516.0,2137.0,3816.0,1759.0,35842.0,3855.0,2960.0,6411.0,7683.0,9998.0,14488.0,128695.0,7289.0,135984.0,1479.0,17360.0,5165.0
2014-05-01,177536.0,5777.0,9311.0,11322.0,7618.0,2950.0,5071.0,3270.0,44121.0,4488.0,3378.0,7747.0,8341.0,12512.0,17451.0,169426.0,8110.0,177536.0,3617.0,25162.0,5400.0
2014-06-01,219963.0,8938.0,10040.0,16592.0,9501.0,3045.0,5542.0,3560.0,50407.0,6127.0,3947.0,8078.0,9975.0,16647.0,22732.0,210748.0,9215.0,219963.0,3850.0,35352.0,5630.0
2014-07-01,264535.0,11138.0,10718.0,18377.0,10583.0,3187.0,7027.0,5377.0,67209.0,7121.0,4991.0,8469.0,11229.0,18762.0,25260.0,255092.0,9443.0,264535.0,9051.0,39727.0,6309.0
2014-08-01,313602.0,11848.0,11376.0,23952.0,13202.0,3289.0,10330.0,5819.0,78301.0,7829.0,5769.0,8870.0,11917.0,25860.0,34789.0,303479.0,10123.0,313602.0,11531.0,42392.0,6528.0
2014-09-01,351328.0,13814.0,12974.0,25665.0,14238.0,3432.0,10804.0,6254.0,93044.0,8620.0,6682.0,9448.0,12593.0,29975.0,37377.0,340144.0,11184.0,351328.0,11596.0,47931.0,6881.0
2014-10-01,396803.0,14817.0,13956.0,28046.0,17180.0,4322.0,11527.0,6359.0,110587.0,9515.0,6665.0,10566.0,14328.0,32141.0,40670.0,380666.0,16137.0,396803.0,11629.0,54493.0,10002.0
2014-11-01,445984.0,15756.0,15939.0,30300.0,17708.0,4759.0,12068.0,8139.0,127966.0,11170.0,8000.0,12153.0,15001.0,39369.0,42471.0,414158.0,31826.0,445984.0,12418.0,61808.0,10959.0
2014-12-01,515251.0,17210.0,16391.0,35564.0,19079.0,5073.0,12977.0,11056.0,163057.0,13583.0,8805.0,13768.0,17628.0,41438.0,49424.0,451931.0,63320.0,515251.0,12447.0,65249.0,12502.0
2015-01-01,33271.0,2820.0,1390.0,4282.0,912.0,211.0,830.0,113.0,11616.0,1018.0,1125.0,1404.0,466.0,1707.0,1265.0,28531.0,4740.0,33271.0,233.0,3646.0,233.0
2015-02-01,66572.0,3970.0,2134.0,8437.0,1186.0,1293.0,1736.0,737.0,18812.0,2644.0,1642.0,2461.0,890.0,3775.0,5860.0,64262.0,2310.0,66572.0,1807.0,8187.0,1001.0
2015-03-01,118772.0,5362.0,3726.0,9624.0,2397.0,3100.0,2442.0,1221.0,41202.0,3939.0,2813.0,2995.0,2794.0,8752.0,9141.0,113186.0,5586.0,118772.0,1855.0,16147.0,1262.0
2015-04-01,170117.0,6232.0,7299.0,13575.0,4402.0,3369.0,3543.0,1420.0,61958.0,6106.0,4171.0,3649.0,3943.0,12768.0,11481.0,162653.0,7464.0,170117.0,1893.0,21837.0,2471.0
2015-05-01,226978.0,9580.0,8801.0,15856.0,5904.0,4112.0,5415.0,3581.0,84240.0,7973.0,6067.0,6212.0,4841.0,17470.0,14991.0,215782.0,11196.0,226978.0,1924.0,26436.0,3575.0
2015-06-01,300080.0,11603.0,11699.0,18063.0,7863.0,4371.0,6610.0,3945.0,114685.0,9513.0,7892.0,8615.0,6481.0,21458.0,19675.0,276548.0,23532.0,300080.0,7406.0,36352.0,3849.0
2015-07-01,382916.0,16143.0,15540.0,19186.0,9083.0,4738.0,7390.0,5519.0,141104.0,12168.0,9532.0,11415.0,8771.0,29860.0,23754.0,359038.0,23878.0,382916.0,10948.0,51945.0,5820.0
2015-08-01,452185.0,18224.0,17738.0,23342.0,11624.0,5552.0,8887.0,6498.0,162006.0,20825.0,10958.0,17322.0,11011.0,33674.0,25023.0,423954.0,28231.0,452185.0,12424.0,60417.0,6660.0
2015-09-01,540140.0,21312.0,21910.0,25656.0,13084.0,6027.0,15236.0,10114.0,198519.0,24366.0,12347.0,18297.0,11985.0,38058.0,29325.0,503002.0,37138.0,540140.0,13944.0,71578.0,8382.0
2015-10-01,604340.0,22760.0,27244.0,30968.0,15226.0,7523.0,16278.0,10496.0,220285.0,25353.0,14371.0,19479.0,12673.0,42970.0,31221.0,565577.0,38763.0,604340.0,14270.0,82986.0,10237.0
2015-11-01,667163.0,30159.0,29814.0,32607.0,19513.0,7840.0,17735.0,12437.0,239666.0,26122.0,16077.0,22141.0,13442.0,48933.0,34751.0,623487.0,43676.0,667163.0,15132.0,88939.0,11855.0
2015-12-01,765328.0,33535.0,31125.0,40311.0,27118.0,7987.0,18868.0,14673.0,276948.0,30590.0,18690.0,22552.0,15631.0,53046.0,45325.0,688900.0,76428.0,765328.0,15235.0,101235.0,12459.0
2016-01-01,47536.0,3703.0,1403.0,2018.0,1328.0,439.0,2616.0,390.0,17332.0,770.0,1234.0,2186.0,669.0,763.0,4329.0,44558.0,2978.0,47536.0,30.0,5586.0,2740.0
2016-02-01,101259.0,7605.0,5207.0,4345.0,1582.0,996.0,3136.0,979.0,37182.0,2111.0,2372.0,3425.0,3367.0,4380.0,9213.0,97784.0,3475.0,101259.0,926.0,11460.0,2973.0
2016-03-01,163009.0,8884.0,9535.0,7680.0,2471.0,1352.0,4062.0,3077.0,60400.0,3026.0,4660.0,8616.0,4622.0,8508.0,13950.0,157646.0,5363.0,163009.0,966.0,15758.0,5442.0
2016-04-01,222684.0,11627.0,12465.0,11297.0,6415.0,1520.0,5389.0,4265.0,75863.0,3973.0,6226.0,9819.0,6490.0,11521.0,20657.0,216537.0,6147.0,222684.0,1214.0,26517.0,7426.0
2016-05-01,275397.0,15194.0,13335.0,14640.0,9621.0,1824.0,7935.0,6844.0,89246.0,5940.0,7951.0,12204.0,9391.0,15571.0,24283.0,269844.0,5553.0,275397.0,2182.0,31389.0,7847.0
2016-06-01,355309.0,21171.0,17647.0,18565.0,12853.0,4865.0,11892.0,10311.0,120910.0,6746.0,10572.0,14920.0,10538.0,17566.0,29829.0,331940.0,23369.0,355309.0,2219.0,36455.0,8250.0
2016-07-01,416696.0,24935.0,18479.0,19559.0,14795.0,5399.0,13848.0,10963.0,141863.0,7974.0,12907.0,14954.0,11438.0,22169.0,37338.0,392618.0,24078.0,416696.0,5003.0,46485.0,8587.0
2016-08-01,471528.0,26939.0,20154.0,20996.0,16324.0,5666.0,17693.0,11110.0,155135.0,12936.0,14728.0,16575.0,13351.0,26225.0,43017.0,445960.0,25568.0,471528.0,7080.0,52682.0,10917.0
2016-09-01,519552.0,27736.0,22172.0,22942.0,17822.0,6766.0,22201.0,14586.0,164683.0,14878.0,16362.0,17859.0,15190.0,30865.0,47669.0,489172.0,30380.0,519552.0,8174.0,56064.0,13583.0
2016-10-01,571990.0,29921.0,23190.0,25070.0,19155.0,8055.0,26828.0,19029.0,180698.0,15398.0,18136.0,19034.0,17255.0,32880.0,52104.0,537693.0,34297.0,571990.0,9911.0,60674.0,14652.0
2016-11-01,636823.0,30851.0,26233.0,29169.0,20856.0,11264.0,28074.0,20017.0,209157.0,19211.0,19762.0,21450.0,19846.0,34303.0,55397.0,596604.0,40219.0,636823.0,10318.0,65568.0,15347.0
2016-12-01,726048.0,36664.0,29516.0,31800.0,23169.0,13509.0,29489.0,22796.0,244237.0,22186.0,21596.0,28737.0,20983.0,36551.0,61124.0,650246.0,75802.0,726048.0,12627.0,74739.0,16325.0
2017-01-01,39898.0,3072.0,5796.0,532.0,1716.0,232.0,592.0,2591.0,12766.0,849.0,1354.0,1164.0,529.0,986.0,1736.0,39898.0,0.0,39898.0,741.0,5102.0,140.0
2017-02-01,89480.0,4690.0,8115.0,3530.0,2903.0,698.0,3096.0,6066.0,26269.0,1680.0,2479.0,2979.0,1333.0,5184.0,4573.0,81866.0,7614.0,89480.0,771.0,14509.0,605.0
2017-03-01,141100.0,8990.0,14648.0,4791.0,5197.0,891.0,5797.0,8398.0,39636.0,2476.0,3862.0,3996.0,4328.0,6181.0,8571.0,132829.0,8271.0,141100.0,895.0,21666.0,777.0
2017-04-01,184668.0,12055.0,15386.0,8348.0,7382.0,1197.0,7749.0,10279.0,52279.0,3562.0,5285.0,5581.0,4947.0,7845.0,10691.0,174655.0,10013.0,184668.0,962.0,29294.0,1826.0
2017-05-01,238179.0,19783.0,16119.0,9394.0,12009.0,3409.0,9288.0,12714.0,65455.0,6169.0,7691.0,7055.0,6188.0,9209.0,15536.0,222815.0,15364.0,238179.0,1285.0,34408.0,2467.0
2017-06-01,297787.0,24604.0,16715.0,12200.0,18335.0,3624.0,14567.0,15504.0,76129.0,10328.0,9867.0,9163.0,7672.0,10156.0,21952.0,279975.0,17812.0,297787.0,1503.0,40425.0,5043.0
2017-07-01,347967.0,29907.0,17405.0,14069.0,21261.0,4243.0,16779.0,15709.0,95095.0,11090.0,10786.0,9809.0,9484.0,13157.0,23147.0,327521.0,20446.0,347967.0,1569.0,49124.0,5333.0
