,전국[%],서울[%],부산[%],대구[%],인천[%],광주[%],대전[%],울산[%],세종[%],경기[%],강원[%],충북[%],충남[%],전북[%],전남[%],경북[%],경남[%],제주[%]
2012-08-01,0.032,-0.057,0.14,0.112,-0.03,0.098,0.079,0.113,0.637,0.049,0.124,0.079,0.049,0.097,0.076,0.095,0.125,0.097
2012-09-01,0.024,-0.055,0.124,0.105,-0.018,0.097,0.063,0.132,0.514,0.026,0.125,0.072,0.032,0.086,0.073,0.089,0.114,0.096
2012-10-01,0.059,0.011,0.12,0.124,0.028,0.11,0.09,0.164,0.342,0.059,0.141,0.085,0.043,0.095,0.077,0.105,0.122,0.121
2012-11-01,0.067,0.031,0.137,0.124,-0.002,0.093,0.079,0.172,0.487,0.058,0.145,0.085,0.064,0.107,0.079,0.108,0.13,0.124
2012-12-01,0.082,0.05,0.136,0.135,0.102,0.109,0.104,0.183,0.485,0.067,0.147,0.092,0.064,0.118,0.08,0.117,0.133,0.144
2013-01-01,0.031,-0.058,0.136,0.103,0.005,0.05,0.068,0.158,0.658,0.037,0.119,0.074,0.067,0.097,0.071,0.094,0.122,0.112
2013-02-01,0.066,0.055,0.132,0.104,0.084,0.091,0.074,0.157,0.627,0.029,0.111,0.07,0.066,0.087,0.071,0.096,0.117,0.114
2013-03-01,0.109,0.105,0.129,0.125,0.117,0.093,0.103,0.157,0.509,0.101,0.122,0.098,0.061,0.11,0.103,0.117,0.132,0.129
2013-04-01,0.132,0.157,0.163,0.141,0.138,0.064,0.125,0.163,0.624,0.106,0.144,0.106,0.08,0.096,0.097,0.136,0.159,0.141
2013-05-01,0.13,0.152,0.142,0.15,0.12,0.047,0.02,0.129,0.502,0.133,0.121,0.099,0.063,0.051,0.076,0.122,0.144,0.157
2013-06-01,0.105,0.097,0.202,0.176,0.112,0.076,0.144,0.166,0.229,0.089,0.126,0.087,0.083,0.051,0.03,0.139,0.166,-0.008
2013-07-01,0.019,-0.039,0.062,0.044,-0.013,-0.055,-0.027,-0.023,0.388,0.05,0.082,0.058,0.041,0.024,0.042,0.089,0.093,-0.059
2013-08-01,0.001,-0.026,0.006,0.092,0.023,0.012,0.023,-0.004,0.205,-0.019,0.078,0.044,0.015,-0.013,0.015,0.094,0.013,0.024
2013-09-01,0.076,0.145,0.08,0.131,0.056,-0.001,0.069,0.02,0.388,0.037,0.034,0.019,0.011,0.041,0.011,0.095,0.06,0.002
2013-10-01,0.152,0.21,0.158,0.212,0.089,0.075,0.095,0.152,0.441,0.104,0.113,0.094,0.121,0.144,0.14,0.19,0.171,0.233
2013-11-01,0.156,0.213,0.183,0.188,0.103,0.135,0.125,0.16,0.313,0.118,0.119,0.159,0.046,0.162,0.159,0.145,0.159,0.243
2013-12-01,0.151,0.189,0.164,0.199,0.033,0.157,0.188,0.125,0.481,0.124,0.115,0.106,0.122,0.187,0.144,0.164,0.145,0.329
2014-01-01,0.107,0.19,0.099,0.165,0.054,0.052,0.022,0.098,0.415,0.042,0.083,0.012,0.071,0.095,0.109,0.104,0.096,0.226
2014-02-01,0.142,0.206,0.146,0.206,0.1,0.084,0.144,0.106,0.38,0.083,0.078,0.086,0.075,0.128,0.201,0.175,0.139,0.387
2014-03-01,0.199,0.291,0.149,0.249,0.219,0.095,0.084,0.198,0.505,0.135,0.157,0.203,0.08,0.162,0.214,0.203,0.14,0.318
2014-04-01,0.18,0.23,0.188,0.263,0.091,0.04,0.102,0.179,0.613,0.14,0.167,0.213,0.119,0.159,0.171,0.214,0.176,0.357
2014-05-01,0.152,0.182,0.178,0.253,0.071,0.161,0.034,0.184,0.491,0.134,0.111,0.118,0.134,0.087,0.091,0.174,0.145,0.246
2014-06-01,0.148,0.181,0.202,0.274,0.089,0.17,0.106,0.124,0.383,0.092,0.144,0.125,0.144,0.146,0.128,0.22,0.194,0.213
2014-07-01,0.168,0.207,0.216,0.271,0.073,0.125,0.231,0.218,0.535,0.109,0.159,0.203,0.116,0.162,0.149,0.221,0.2,0.271
2014-08-01,0.138,0.186,0.181,0.246,0.117,0.108,0.254,0.114,0.478,0.077,0.161,0.134,0.07,0.083,0.084,0.18,0.109,0.293
2014-09-01,0.186,0.294,0.193,0.27,0.134,0.07,0.28,0.166,0.195,0.085,0.146,0.145,0.15,0.096,0.142,0.205,0.177,0.32
2014-10-01,0.202,0.29,0.241,0.319,0.153,0.103,0.206,0.143,0.102,0.124,0.178,0.104,0.132,0.17,0.142,0.245,0.244,0.33
2014-11-01,0.159,0.198,0.223,0.301,0.081,0.098,0.174,0.155,0.084,0.1,0.165,0.166,0.156,0.141,0.169,0.208,0.146,0.339
2014-12-01,0.166,0.176,0.239,0.287,0.16,0.199,0.192,0.149,0.257,0.109,0.204,0.174,0.129,0.143,0.187,0.243,0.189,0.366
2015-01-01,0.143,0.173,0.192,0.274,0.115,0.196,0.181,0.096,0.055,0.108,0.139,0.098,0.048,0.134,0.142,0.169,0.144,0.292
2015-02-01,0.149,0.183,0.189,0.263,0.124,0.163,0.123,0.075,0.076,0.112,0.14,0.145,0.074,0.144,0.171,0.154,0.134,0.365
2015-03-01,0.186,0.213,0.244,0.331,0.132,0.226,0.184,0.22,0.219,0.133,0.223,0.23,0.145,0.193,0.213,0.204,0.191,0.21
2015-04-01,0.197,0.228,0.265,0.304,0.199,0.185,0.178,0.217,0.308,0.148,0.253,0.172,0.101,0.164,0.204,0.219,0.199,0.298
2015-05-01,0.178,0.229,0.267,0.317,0.138,0.264,0.19,0.205,0.393,0.11,0.182,0.143,0.088,0.145,0.199,0.193,0.167,0.205
2015-06-01,0.212,0.229,0.295,0.301,0.19,0.288,0.333,0.293,0.436,0.155,0.239,0.17,0.172,0.222,0.263,0.221,0.187,0.313
2015-07-01,0.215,0.242,0.275,0.36,0.172,0.255,0.259,0.23,0.468,0.165,0.255,0.172,0.144,0.191,0.287,0.239,0.187,0.392
2015-08-01,0.19,0.223,0.238,0.352,0.19,0.194,0.24,0.162,0.343,0.134,0.204,0.142,0.103,0.177,0.249,0.208,0.173,0.352
2015-09-01,0.191,0.22,0.224,0.354,0.174,0.216,0.262,0.214,0.403,0.135,0.228,0.148,0.098,0.194,0.244,0.21,0.179,0.354
2015-10-01,0.223,0.241,0.259,0.371,0.182,0.231,0.365,0.147,0.39,0.18,0.25,0.156,0.165,0.235,0.252,0.216,0.22,0.501
2015-11-01,0.242,0.236,0.263,0.373,0.174,0.328,0.365,0.311,0.803,0.167,0.248,0.148,0.18,0.222,0.256,0.282,0.207,1.972
2015-12-01,0.251,0.239,0.34,0.385,0.144,0.287,0.39,0.321,0.587,0.174,0.25,0.161,0.185,0.263,0.287,0.304,0.223,2.089
2016-01-01,0.173,0.187,0.256,0.323,0.095,0.243,0.229,0.211,0.327,0.088,0.201,0.114,0.083,0.185,0.153,0.217,0.196,1.473
2016-02-01,0.17,0.176,0.262,0.324,0.121,0.169,0.219,0.15,0.258,0.109,0.175,0.105,0.135,0.163,0.189,0.194,0.178,1.08
2016-03-01,0.216,0.208,0.339,0.355,0.127,0.215,0.317,0.263,0.304,0.171,0.246,0.174,0.184,0.187,0.209,0.235,0.201,1.04
2016-04-01,0.214,0.225,0.313,0.342,0.19,0.22,0.277,0.149,0.341,0.17,0.236,0.134,0.146,0.17,0.202,0.211,0.179,0.939
2016-05-01,0.221,0.257,0.351,0.318,0.123,0.15,0.294,0.232,0.37,0.183,0.238,0.136,0.151,0.15,0.18,0.223,0.173,0.572
2016-06-01,0.246,0.275,0.383,0.319,0.164,0.233,0.311,0.168,0.482,0.222,0.241,0.191,0.188,0.176,0.199,0.237,0.195,0.482
2016-07-01,0.244,0.282,0.34,0.308,0.177,0.239,0.331,0.175,0.581,0.22,0.246,0.172,0.171,0.142,0.224,0.214,0.181,0.386
2016-08-01,0.234,0.272,0.343,0.312,0.147,0.211,0.282,0.167,0.434,0.205,0.274,0.176,0.164,0.161,0.231,0.198,0.199,0.443
2016-09-01,0.237,0.273,0.393,0.287,0.144,0.202,0.274,0.179,0.361,0.212,0.249,0.193,0.154,0.203,0.214,0.181,0.199,0.435
2016-10-01,0.252,0.286,0.382,0.306,0.151,0.299,0.3,0.222,0.419,0.232,0.279,0.181,0.179,0.187,0.249,0.176,0.218,0.347
2016-11-01,0.242,0.254,0.381,0.341,0.154,0.322,0.313,0.215,0.311,0.221,0.255,0.178,0.188,0.209,0.269,0.209,0.22,0.419
2016-12-01,0.218,0.239,0.354,0.327,0.129,0.284,0.246,0.194,0.486,0.176,0.246,0.149,0.142,0.196,0.253,0.216,0.194,0.42
2017-01-01,0.183,0.191,0.318,0.296,0.125,0.156,0.142,0.143,0.352,0.146,0.23,0.112,0.134,0.157,0.206,0.213,0.183,0.43
2017-02-01,0.231,0.232,0.391,0.339,0.254,0.226,0.258,0.2,0.365,0.209,0.234,0.113,0.144,0.188,0.213,0.246,0.194,0.409
2017-03-01,0.321,0.322,0.43,0.361,0.294,0.312,0.342,0.249,0.509,0.326,0.364,0.22,0.214,0.284,0.36,0.313,0.281,0.392
2017-04-01,0.315,0.333,0.432,0.332,0.212,0.352,0.24,0.28,0.427,0.324,0.314,0.245,0.194,0.302,0.334,0.266,0.269,0.559
2017-05-01,0.387,0.509,0.638,0.351,0.265,0.453,0.27,0.286,0.704,0.342,0.321,0.262,0.25,0.302,0.329,0.252,0.251,0.354
2017-06-01,0.391,0.492,0.637,0.394,0.291,0.563,0.272,0.335,0.61,0.327,0.377,0.255,0.271,0.342,0.383,0.288,0.302,0.478
2017-07-01,0.391,0.484,0.663,0.399,0.332,0.44,0.311,0.319,0.818,0.313,0.327,0.296,0.32,0.302,0.402,0.281,0.302,0.438
2017-08-01,0.347,0.397,0.633,0.418,0.287,0.432,0.264,0.332,0.667,0.284,0.298,0.331,0.305,0.287,0.357,0.258,0.261,0.49
2017-09-01,0.32,0.317,0.594,0.437,0.28,0.358,0.314,0.296,0.671,0.274,0.328,0.358,0.291,0.32,0.36,0.255,0.26,0.438
2017-10-01,0.286,0.278,0.534,0.363,0.251,0.217,0.279,0.346,0.431,0.263,0.305,0.31,0.259,0.266,0.278,0.224,0.226,0.408
2017-11-01,0.32,0.334,0.548,0.411,0.224,0.282,0.308,0.351,0.594,0.296,0.297,0.309,0.294,0.276,0.326,0.211,0.27,0.452
2017-12-01,0.319,0.345,0.503,0.386,0.241,0.307,0.313,0.349,0.651,0.292,0.359,0.227,0.267,0.251,0.287,0.242,0.252,0.478
2018-01-01,0.325,0.417,0.517,0.34,0.206,0.31,0.263,0.325,0.582,0.261,0.287,0.22,0.25,0.256,0.303,0.238,0.251,0.49
2018-02-01,0.308,0.417,0.482,0.332,0.191,0.297,0.28,0.28,0.426,0.258,0.263,0.208,0.224,0.185,0.255,0.181,0.226,0.337
2018-03-01,0.351,0.44,0.521,0.387,0.247,0.395,0.289,0.286,0.545,0.304,0.302,0.327,0.28,0.242,0.354,0.243,0.261,0.353
2018-04-01,0.33,0.302,0.486,0.422,0.238,0.364,0.283,0.264,0.606,0.388,0.334,0.29,0.231,0.214,0.317,0.251,0.241,0.349
2018-05-01,0.345,0.36,0.505,0.422,0.275,0.402,0.262,0.254,0.616,0.378,0.325,0.313,0.231,0.215,0.307,0.247,0.229,0.354
2018-06-01,0.37,0.424,0.504,0.418,0.302,0.371,0.282,0.236,0.667,0.404,0.311,0.268,0.205,0.232,0.288,0.253,0.253,0.324
2018-07-01,0.403,0.563,0.507,0.354,0.294,0.372,0.254,0.211,0.81,0.376,0.3,0.25,0.174,0.241,0.295,0.265,0.22,0.526
2018-08-01,0.42,0.613,0.46,0.394,0.28,0.447,0.256,0.195,0.504,0.408,0.281,0.257,0.164,0.218,0.314,0.229,0.149,0.698
2018-09-01,0.427,0.681,0.438,0.411,0.359,0.491,0.288,0.174,0.533,0.374,0.25,0.204,0.154,0.192,0.334,0.212,0.088,0.578
2018-10-01,0.455,0.69,0.429,0.479,0.415,0.58,0.308,0.161,0.846,0.41,0.309,0.242,0.14,0.253,0.419,0.255,0.115,0.397
2018-11-01,0.416,0.609,0.381,0.474,0.393,0.577,0.258,0.14,0.53,0.412,0.287,0.28,0.101,0.235,0.399,0.238,0.058,0.237
2018-12-01,0.341,0.433,0.365,0.466,0.331,0.529,0.268,0.088,0.513,0.363,0.272,0.253,0.098,0.201,0.338,0.211,0.09,0.235
2019-01-01,0.314,0.388,0.379,0.387,0.339,0.429,0.238,0.101,0.455,0.323,0.254,0.208,0.134,0.223,0.361,0.206,0.08,0.221
2019-02-01,0.265,0.275,0.312,0.325,0.317,0.407,0.246,0.108,0.333,0.313,0.215,0.214,0.124,0.224,0.311,0.174,0.072,0.121
2019-03-01,0.3,0.329,0.301,0.365,0.307,0.418,0.247,0.126,0.391,0.35,0.238,0.252,0.154,0.29,0.359,0.229,0.082,0.093
2019-04-01,0.317,0.378,0.297,0.383,0.354,0.433,0.248,0.116,0.317,0.351,0.257,0.233,0.154,0.262,0.352,0.226,0.092,0.103
2019-05-01,0.33,0.445,0.304,0.395,0.32,0.376,0.332,0.084,0.554,0.351,0.249,0.209,0.142,0.255,0.326,0.213,0.066,-0.133
2019-06-01,0.323,0.44,0.3,0.381,0.259,0.394,0.36,0.082,0.578,0.35,0.227,0.162,0.144,0.224,0.324,0.198,0.046,-0.112
2019-07-01,0.337,0.484,0.279,0.382,0.334,0.398,0.382,-0.012,0.463,0.356,0.24,0.144,0.121,0.233,0.321,0.196,0.049,-0.131
2019-08-01,0.33,0.485,0.257,0.359,0.335,0.38,0.383,-0.076,0.408,0.361,0.213,0.134,0.108,0.215,0.302,0.176,0.008,-0.191
