,총수주액[백만원],공공부문[백만원],중앙정부[백만원],지방자치단체[백만원],공기업[백만원],기타공공단체[백만원],민간부문[백만원],제조업[백만원],비제조업[백만원],국내외국기관[백만원],민자[백만원],건축[백만원],주택[백만원],사무실 및 점포[백만원],공장 및 창고[백만원],관공서[백만원],기타[백만원],토목[백만원],치산 및 치수[백만원],농림 및 수산[백만원],도로 및 교량[백만원],항만 및 공항[백만원],철도 및 궤도[백만원],상하수도[백만원],발전 및 송전[백만원],토지조성[백만원],댐[백만원],기계설치[백만원],기타[백만원],조경공사[백만원]
1976-11-01,31604.0,25290.0,7488.0,8532.0,8139.0,1131.0,6083.0,4530.0,1553.0,231.0,,11796.0,2165.0,1565.0,2851.0,2144.0,3071.0,19808.0,131.0,775.0,6039.0,1979.0,108.0,1118.0,2471.0,5896.0,7.0,551.0,733.0,
1976-12-01,65624.0,43246.0,11495.0,6076.0,24567.0,1108.0,22378.0,5184.0,17194.0,,,26215.0,1403.0,18431.0,2830.0,2020.0,1531.0,39409.0,10720.0,613.0,3438.0,6085.0,114.0,2072.0,1188.0,3361.0,7785.0,3787.0,246.0,
1977-01-01,5376.0,1942.0,26.0,251.0,1220.0,445.0,3434.0,3033.0,401.0,,,1671.0,23.0,587.0,741.0,285.0,35.0,3705.0,9.0,509.0,130.0,281.0,0.0,108.0,292.0,1926.0,0.0,442.0,8.0,
1977-02-01,19370.0,12181.0,5942.0,1336.0,4042.0,861.0,6964.0,2272.0,4692.0,225.0,,7776.0,4261.0,1244.0,1302.0,153.0,816.0,11594.0,483.0,1057.0,790.0,3223.0,1800.0,199.0,1477.0,1642.0,0.0,512.0,411.0,
1977-03-01,69361.0,55814.0,28243.0,5520.0,14215.0,7836.0,13186.0,6740.0,6446.0,361.0,,27621.0,14984.0,5994.0,2083.0,3243.0,1317.0,41740.0,1739.0,3479.0,7415.0,17903.0,2765.0,1403.0,356.0,2123.0,1083.0,899.0,2575.0,
1977-04-01,78269.0,55826.0,20012.0,18507.0,14022.0,3285.0,21881.0,4897.0,16984.0,562.0,,36748.0,18627.0,3719.0,4755.0,5987.0,3660.0,41521.0,1060.0,1931.0,11864.0,6714.0,638.0,5865.0,1666.0,6442.0,411.0,640.0,4290.0,
1977-05-01,56447.0,44004.0,13211.0,9518.0,19607.0,1668.0,12418.0,7655.0,4763.0,25.0,,22756.0,7459.0,3624.0,4496.0,2828.0,4349.0,33691.0,317.0,582.0,6082.0,2877.0,153.0,3104.0,6962.0,4743.0,16.0,4218.0,4637.0,
1977-06-01,73121.0,48549.0,14626.0,11301.0,20302.0,2320.0,23664.0,17232.0,6432.0,908.0,,35129.0,7285.0,4631.0,8866.0,8630.0,5717.0,37992.0,746.0,8824.0,3607.0,1759.0,1165.0,2179.0,1710.0,9002.0,8.0,6641.0,2351.0,
1977-07-01,58127.0,42759.0,20835.0,4707.0,15386.0,1831.0,14768.0,4766.0,10002.0,600.0,,24732.0,15530.0,2410.0,3345.0,2167.0,1280.0,33395.0,69.0,97.0,3691.0,16934.0,893.0,1094.0,5081.0,2107.0,0.0,1774.0,1655.0,
1977-08-01,61749.0,36462.0,5140.0,8906.0,17505.0,4911.0,25174.0,9852.0,15322.0,113.0,,33924.0,20285.0,2039.0,5928.0,4541.0,1131.0,27825.0,477.0,8278.0,4720.0,399.0,409.0,2963.0,2827.0,2527.0,0.0,3249.0,1976.0,
1977-09-01,62558.0,37587.0,11795.0,15413.0,8702.0,1677.0,23745.0,11496.0,12249.0,1226.0,,37305.0,13237.0,6814.0,4585.0,7432.0,5237.0,25253.0,956.0,648.0,9218.0,855.0,810.0,3099.0,972.0,3289.0,71.0,2563.0,2772.0,
1977-10-01,60506.0,38421.0,9810.0,12739.0,8881.0,6991.0,21677.0,8151.0,13526.0,408.0,,33522.0,12194.0,10088.0,5823.0,3759.0,1658.0,26984.0,528.0,430.0,5832.0,3517.0,1540.0,4082.0,2471.0,3778.0,10.0,4282.0,514.0,
1977-11-01,89194.0,56744.0,6622.0,13405.0,33719.0,2998.0,31388.0,13543.0,17845.0,1062.0,,40590.0,12727.0,7743.0,12106.0,5064.0,2950.0,48604.0,436.0,19151.0,6567.0,1377.0,1078.0,3344.0,3099.0,2976.0,2652.0,5007.0,2917.0,
1977-12-01,153260.0,127809.0,4258.0,13305.0,107501.0,2745.0,24596.0,4769.0,19827.0,855.0,,35720.0,20494.0,8118.0,1979.0,2685.0,2444.0,117540.0,24447.0,6106.0,6200.0,6768.0,457.0,3460.0,63833.0,4234.0,4.0,1051.0,980.0,
1978-01-01,42996.0,6689.0,67.0,824.0,4566.0,1232.0,36294.0,5871.0,30423.0,13.0,,33016.0,26436.0,5087.0,1212.0,216.0,65.0,9980.0,394.0,596.0,1309.0,77.0,0.0,1025.0,389.0,422.0,0.0,5591.0,177.0,
1978-02-01,48172.0,26072.0,666.0,9575.0,12203.0,3628.0,22072.0,8880.0,13192.0,28.0,,22929.0,1093.0,11421.0,7336.0,2862.0,217.0,25243.0,4531.0,3336.0,2131.0,0.0,7509.0,557.0,1223.0,4678.0,0.0,1173.0,105.0,
1978-03-01,95751.0,34137.0,11247.0,9998.0,5155.0,7737.0,61605.0,12019.0,49586.0,9.0,,63790.0,42532.0,5074.0,11969.0,3411.0,804.0,31961.0,346.0,5320.0,5957.0,4331.0,3346.0,1639.0,1847.0,2350.0,0.0,3876.0,2949.0,
1978-04-01,105701.0,61145.0,27418.0,14490.0,15978.0,3259.0,44529.0,19571.0,24958.0,27.0,,58611.0,18330.0,16856.0,14990.0,3915.0,4520.0,47090.0,1442.0,4129.0,9231.0,8471.0,1371.0,10567.0,3474.0,2889.0,10.0,3506.0,2000.0,
1978-05-01,236202.0,102845.0,47401.0,23356.0,28626.0,3462.0,132671.0,15243.0,117428.0,686.0,,166849.0,119297.0,5806.0,17874.0,11455.0,12417.0,69353.0,644.0,786.0,29455.0,12946.0,926.0,3571.0,2013.0,7178.0,1181.0,3380.0,7273.0,
1978-06-01,137230.0,65191.0,26087.0,13614.0,24027.0,1463.0,70812.0,21506.0,49306.0,1227.0,,99465.0,41623.0,26291.0,10347.0,14199.0,7005.0,37765.0,2783.0,562.0,12571.0,1879.0,824.0,2364.0,2301.0,3142.0,0.0,3771.0,7568.0,
1978-07-01,135029.0,84882.0,41027.0,20871.0,22154.0,830.0,49971.0,19626.0,30345.0,176.0,,65657.0,29484.0,12395.0,10852.0,6948.0,5978.0,69372.0,123.0,458.0,39552.0,5408.0,3820.0,2807.0,3439.0,9408.0,11.0,2122.0,2224.0,
1978-08-01,181838.0,63800.0,25685.0,20909.0,15292.0,1914.0,115809.0,18670.0,97139.0,2229.0,,129317.0,93262.0,6028.0,13701.0,10671.0,5655.0,52521.0,513.0,711.0,23024.0,7747.0,4038.0,1367.0,6168.0,3681.0,492.0,1529.0,3251.0,
1978-09-01,146071.0,52751.0,17002.0,21195.0,12120.0,2434.0,92918.0,20263.0,72655.0,402.0,,107227.0,69261.0,8909.0,14044.0,8481.0,6532.0,38844.0,64.0,174.0,13439.0,3571.0,550.0,1394.0,3052.0,14229.0,27.0,1260.0,1084.0,
1978-10-01,160031.0,53331.0,12744.0,17989.0,19579.0,3019.0,105642.0,23521.0,82121.0,1058.0,,119156.0,77260.0,9468.0,14153.0,11081.0,7194.0,40875.0,193.0,4998.0,11681.0,2129.0,1554.0,2225.0,2066.0,7413.0,208.0,4880.0,3528.0,
1978-11-01,194343.0,81025.0,20265.0,34501.0,17416.0,8843.0,113303.0,32155.0,81148.0,15.0,,123069.0,78806.0,13060.0,17908.0,12073.0,1222.0,71274.0,2078.0,7428.0,33091.0,4491.0,1829.0,2604.0,3526.0,11129.0,0.0,4390.0,708.0,
1978-12-01,172055.0,105924.0,26701.0,19406.0,57429.0,2388.0,63493.0,30832.0,32661.0,2638.0,,96757.0,39402.0,9742.0,29529.0,16794.0,1290.0,75298.0,630.0,2156.0,9576.0,9505.0,1664.0,7061.0,27780.0,12177.0,225.0,2862.0,1662.0,
1979-01-01,70486.0,21058.0,620.0,2797.0,17020.0,621.0,47036.0,9304.0,37732.0,2392.0,,47423.0,36889.0,1712.0,6964.0,1068.0,790.0,23063.0,0.0,437.0,1734.0,694.0,581.0,304.0,12728.0,699.0,0.0,3930.0,1956.0,
1979-02-01,61372.0,22775.0,2607.0,4318.0,12512.0,3338.0,37921.0,9024.0,28897.0,676.0,,38192.0,21676.0,4356.0,6156.0,5092.0,912.0,23180.0,971.0,4482.0,10535.0,1249.0,295.0,1051.0,702.0,1585.0,0.0,1622.0,688.0,
1979-03-01,172198.0,87602.0,13962.0,30190.0,39434.0,4016.0,84567.0,12930.0,71637.0,29.0,,103121.0,65216.0,10271.0,15103.0,8426.0,4105.0,69077.0,337.0,8713.0,10973.0,6141.0,14939.0,7158.0,3629.0,10665.0,0.0,2108.0,4414.0,
1979-04-01,183732.0,99357.0,34448.0,34788.0,27204.0,2917.0,79981.0,46904.0,33077.0,4394.0,,101256.0,40231.0,6464.0,40921.0,9716.0,3924.0,82476.0,1543.0,8254.0,21456.0,5936.0,6268.0,14458.0,6300.0,8205.0,0.0,1978.0,8078.0,
1979-05-01,176090.0,150529.0,48415.0,57188.0,40599.0,4327.0,25542.0,16952.0,8590.0,19.0,,55033.0,9139.0,13361.0,14424.0,11852.0,6257.0,121057.0,1666.0,2427.0,34996.0,10645.0,14372.0,10953.0,13071.0,17081.0,10075.0,1015.0,4756.0,
1979-06-01,170879.0,119951.0,28945.0,30100.0,56302.0,4604.0,50660.0,18481.0,32179.0,268.0,,100690.0,52054.0,9143.0,17846.0,17076.0,4571.0,70189.0,1103.0,4329.0,21277.0,6052.0,0.0,4213.0,4483.0,18626.0,0.0,6581.0,3525.0,
1979-07-01,247567.0,227398.0,55617.0,15735.0,153938.0,2108.0,20169.0,9281.0,10888.0,,,73339.0,39310.0,3638.0,12860.0,8940.0,8591.0,174228.0,357.0,927.0,14044.0,27694.0,0.0,1316.0,110832.0,7887.0,80.0,2476.0,8615.0,
1979-08-01,238840.0,211915.0,161901.0,20414.0,28085.0,1515.0,26636.0,17071.0,9565.0,289.0,,52549.0,13520.0,7463.0,12148.0,12399.0,7019.0,186291.0,13654.0,205.0,146019.0,2442.0,413.0,3198.0,4660.0,5546.0,0.0,2297.0,7857.0,
1979-09-01,315257.0,246868.0,22730.0,21363.0,201457.0,1318.0,65533.0,16005.0,49528.0,2856.0,,137291.0,37479.0,51618.0,15987.0,21241.0,10966.0,177966.0,2968.0,716.0,20567.0,2013.0,1443.0,1417.0,122281.0,15059.0,0.0,4021.0,7481.0,
1979-10-01,173785.0,74618.0,12416.0,33087.0,22635.0,6480.0,95951.0,13966.0,81985.0,3216.0,,121525.0,84609.0,11699.0,11537.0,7177.0,6503.0,52260.0,3030.0,760.0,18565.0,952.0,4005.0,2725.0,2191.0,14168.0,50.0,2079.0,3735.0,
1979-11-01,138983.0,86471.0,7308.0,30804.0,38110.0,10249.0,49758.0,17320.0,32438.0,2754.0,,71157.0,36422.0,12387.0,8918.0,9235.0,4195.0,67826.0,7338.0,16802.0,8707.0,1644.0,6247.0,3679.0,4909.0,7126.0,171.0,8751.0,2452.0,
1979-12-01,246124.0,202142.0,48470.0,27019.0,117583.0,9070.0,43199.0,16139.0,27060.0,783.0,,73044.0,18118.0,20178.0,12902.0,19129.0,2717.0,173080.0,684.0,16415.0,12569.0,10742.0,16664.0,13474.0,4261.0,9111.0,80664.0,3437.0,5059.0,
1980-01-01,49733.0,27755.0,4343.0,5256.0,17107.0,1049.0,21123.0,7648.0,13475.0,855.0,,31706.0,6003.0,5798.0,10793.0,2757.0,6355.0,18027.0,0.0,6435.0,1377.0,198.0,42.0,889.0,3161.0,399.0,0.0,380.0,5146.0,
1980-02-01,128353.0,52712.0,16482.0,20615.0,14205.0,1410.0,75508.0,3576.0,71932.0,133.0,,95612.0,41683.0,35093.0,4978.0,4451.0,9407.0,32741.0,1285.0,1588.0,2486.0,282.0,12256.0,208.0,2581.0,11055.0,0.0,575.0,425.0,
1980-03-01,135709.0,86495.0,11569.0,42069.0,24899.0,7958.0,49171.0,9126.0,40045.0,43.0,,71282.0,20848.0,22757.0,10963.0,13168.0,3546.0,64427.0,3185.0,6698.0,20302.0,286.0,7485.0,3723.0,3778.0,14221.0,0.0,3801.0,948.0,
1980-04-01,329972.0,219138.0,64917.0,66350.0,80131.0,7740.0,79237.0,15820.0,63417.0,31597.0,,130647.0,57625.0,18578.0,18490.0,19652.0,16302.0,199325.0,1052.0,6634.0,49630.0,21961.0,5011.0,8314.0,58422.0,13171.0,0.0,1589.0,33541.0,
1980-05-01,221553.0,157737.0,61587.0,41233.0,46115.0,8802.0,63039.0,18599.0,44440.0,777.0,,113306.0,45121.0,22672.0,15636.0,11994.0,17883.0,108247.0,6069.0,5913.0,13028.0,24708.0,12195.0,11555.0,6649.0,19866.0,0.0,4280.0,3984.0,
1980-06-01,248562.0,126943.0,58921.0,47608.0,15311.0,5103.0,120403.0,6817.0,113586.0,1216.0,,176912.0,101376.0,17752.0,7096.0,16900.0,33788.0,71650.0,2244.0,278.0,34196.0,3802.0,6938.0,4300.0,3178.0,13161.0,60.0,34.0,3459.0,
1980-07-01,169509.0,96113.0,34603.0,29598.0,27858.0,4054.0,73240.0,19987.0,53253.0,156.0,,100104.0,38798.0,10932.0,7274.0,36332.0,6768.0,69405.0,576.0,11206.0,12845.0,361.0,8241.0,3936.0,5253.0,17401.0,0.0,4031.0,5555.0,
1980-08-01,128460.0,62558.0,22351.0,16669.0,15997.0,7541.0,65494.0,9544.0,55950.0,408.0,,98512.0,44748.0,12804.0,7677.0,18770.0,14513.0,29948.0,805.0,378.0,8561.0,2385.0,2637.0,3474.0,1652.0,4512.0,425.0,418.0,4701.0,
1980-09-01,141315.0,52698.0,21274.0,17223.0,10905.0,3296.0,85662.0,31307.0,54355.0,2955.0,,105089.0,42529.0,12351.0,31146.0,14392.0,4671.0,36226.0,2541.0,252.0,10546.0,2349.0,3329.0,2442.0,2613.0,5798.0,0.0,1917.0,4439.0,
1980-10-01,166048.0,54076.0,11027.0,22750.0,16732.0,3567.0,105152.0,17379.0,87773.0,6820.0,,115012.0,74946.0,12133.0,4667.0,13727.0,9539.0,51036.0,1064.0,4299.0,7799.0,1653.0,134.0,4215.0,6226.0,21605.0,0.0,1047.0,2994.0,
1980-11-01,96335.0,55658.0,11559.0,26983.0,13349.0,3767.0,40674.0,5652.0,35022.0,3.0,,62961.0,28153.0,13284.0,2953.0,10408.0,8163.0,33374.0,1116.0,1972.0,5501.0,2643.0,1497.0,8338.0,938.0,9441.0,0.0,1164.0,764.0,
1980-12-01,246766.0,202819.0,61458.0,64053.0,73169.0,4139.0,43929.0,19854.0,24075.0,18.0,,94281.0,43887.0,14096.0,6313.0,27576.0,2409.0,152485.0,2072.0,13725.0,34358.0,5435.0,29652.0,6250.0,12194.0,26739.0,119.0,20093.0,1848.0,
1981-01-01,140664.0,98527.0,49477.0,12202.0,27119.0,9729.0,41259.0,5833.0,35426.0,878.0,,54909.0,30871.0,6874.0,352.0,12173.0,4639.0,85755.0,1207.0,11992.0,17765.0,14534.0,5846.0,1378.0,5958.0,20200.0,0.0,3074.0,3801.0,
1981-02-01,194787.0,167454.0,62808.0,73744.0,16364.0,14538.0,27110.0,6882.0,20228.0,223.0,,46138.0,15929.0,5802.0,3106.0,11843.0,9458.0,148649.0,7208.0,19654.0,82619.0,15659.0,2981.0,3245.0,268.0,13527.0,0.0,859.0,2629.0,
1981-03-01,284825.0,232579.0,60751.0,77168.0,86365.0,8295.0,44105.0,6621.0,37484.0,8141.0,,104256.0,34117.0,24986.0,6213.0,35935.0,3005.0,180569.0,5173.0,9278.0,29988.0,16285.0,42432.0,19233.0,26779.0,15444.0,3910.0,1254.0,10793.0,
1981-04-01,330107.0,247360.0,44731.0,68194.0,131153.0,3282.0,75630.0,20772.0,54858.0,7117.0,,137719.0,56703.0,17457.0,15210.0,28684.0,19665.0,192388.0,1722.0,85011.0,31363.0,15222.0,31533.0,3936.0,5405.0,9366.0,3619.0,3409.0,1802.0,
1981-05-01,317825.0,217732.0,31377.0,32569.0,149945.0,3841.0,99394.0,15414.0,83980.0,699.0,,129524.0,29886.0,56590.0,11921.0,13751.0,17376.0,188301.0,3043.0,22682.0,12539.0,3.0,5323.0,1500.0,120006.0,15903.0,6.0,744.0,6552.0,
1981-06-01,289469.0,196243.0,48626.0,42950.0,102962.0,1705.0,89440.0,24263.0,65177.0,3786.0,,113575.0,46504.0,17648.0,7742.0,26668.0,15013.0,175894.0,3744.0,307.0,11607.0,20650.0,16115.0,9916.0,88787.0,11464.0,0.0,7643.0,5661.0,
1981-07-01,217128.0,106426.0,36772.0,41496.0,25257.0,2901.0,110481.0,61131.0,49350.0,221.0,,158716.0,43219.0,32768.0,48072.0,25077.0,9580.0,58412.0,3085.0,11639.0,6597.0,621.0,7254.0,2989.0,5233.0,6596.0,0.0,10455.0,3943.0,
1981-08-01,193432.0,124083.0,30353.0,17987.0,64947.0,10796.0,68909.0,23546.0,45363.0,440.0,,128380.0,32188.0,15010.0,43740.0,24512.0,12930.0,65052.0,188.0,1357.0,4642.0,7679.0,1625.0,7356.0,3218.0,12262.0,21449.0,4037.0,1239.0,
1981-09-01,286852.0,201108.0,114456.0,59199.0,25347.0,2106.0,70106.0,12251.0,57855.0,15638.0,,120392.0,51417.0,13167.0,6078.0,24064.0,25666.0,166460.0,993.0,7029.0,118459.0,74.0,11944.0,1477.0,4050.0,14702.0,0.0,1461.0,6271.0,
1981-10-01,246792.0,164000.0,74799.0,35611.0,49764.0,3826.0,72316.0,30331.0,41985.0,10476.0,,112800.0,24879.0,29385.0,18266.0,32873.0,7397.0,133992.0,693.0,2928.0,67638.0,1702.0,9783.0,8591.0,31207.0,6719.0,0.0,3575.0,1156.0,
1981-11-01,270815.0,142148.0,10066.0,74757.0,51304.0,6021.0,128660.0,80408.0,48252.0,7.0,,163123.0,44545.0,89593.0,2626.0,24176.0,2183.0,107692.0,1926.0,4053.0,17714.0,15084.0,18726.0,14472.0,10552.0,8353.0,0.0,12783.0,4029.0,
1981-12-01,424982.0,305451.0,42185.0,73543.0,176166.0,13557.0,118788.0,56848.0,61940.0,743.0,,290998.0,122548.0,77763.0,40229.0,30445.0,20013.0,133984.0,2311.0,2304.0,9690.0,3497.0,38945.0,6198.0,41580.0,24698.0,0.0,3920.0,841.0,
1982-01-01,147487.0,64848.0,28112.0,11781.0,23309.0,1646.0,80660.0,28954.0,51706.0,1979.0,,83579.0,22052.0,32883.0,17674.0,10154.0,816.0,63908.0,1579.0,1880.0,1682.0,16180.0,5735.0,4466.0,1618.0,11334.0,17211.0,2137.0,86.0,
1982-02-01,238085.0,213002.0,39255.0,24492.0,137330.0,11925.0,24983.0,7475.0,17508.0,100.0,,35636.0,8822.0,5795.0,4477.0,13397.0,3145.0,202449.0,3633.0,10555.0,22121.0,4830.0,2237.0,12846.0,127885.0,12884.0,1356.0,3773.0,329.0,
1982-03-01,524948.0,444247.0,105301.0,212470.0,109006.0,17470.0,78699.0,22663.0,56036.0,2002.0,,220937.0,106575.0,37335.0,10034.0,51593.0,15400.0,304011.0,5298.0,14716.0,36767.0,21400.0,131219.0,14622.0,22535.0,37501.0,0.0,4877.0,15076.0,
1982-04-01,334583.0,242994.0,64754.0,76251.0,92385.0,9604.0,91286.0,15880.0,75406.0,303.0,,182807.0,63414.0,52767.0,14299.0,43814.0,8513.0,151776.0,3551.0,2384.0,39355.0,9408.0,55244.0,9607.0,10765.0,10604.0,0.0,2206.0,8652.0,
1982-05-01,249168.0,117784.0,42902.0,41973.0,21521.0,11388.0,130797.0,21093.0,109704.0,587.0,,162526.0,85578.0,18879.0,12247.0,34231.0,11591.0,86642.0,1638.0,5513.0,19427.0,3742.0,32934.0,1521.0,4305.0,8986.0,0.0,7437.0,1139.0,
1982-06-01,240098.0,84742.0,40513.0,27588.0,14943.0,1698.0,155221.0,16726.0,138495.0,135.0,,175959.0,78223.0,44599.0,12369.0,17015.0,23753.0,64139.0,347.0,718.0,9649.0,3794.0,3397.0,8419.0,4539.0,15580.0,0.0,7283.0,10413.0,
1982-07-01,319282.0,185863.0,76098.0,78951.0,29594.0,1220.0,132087.0,14738.0,117349.0,1332.0,,155305.0,82943.0,28720.0,7562.0,16056.0,20024.0,163977.0,609.0,462.0,116923.0,2471.0,3841.0,4896.0,7695.0,15811.0,0.0,8009.0,3260.0,
1982-08-01,283727.0,179464.0,28537.0,42543.0,105844.0,2540.0,94498.0,25405.0,69093.0,9765.0,,118523.0,13429.0,54021.0,15374.0,21460.0,14239.0,165204.0,1293.0,625.0,25446.0,297.0,2129.0,7818.0,82008.0,22429.0,11475.0,6229.0,5455.0,
1982-09-01,285435.0,164860.0,36157.0,69176.0,46188.0,13339.0,105059.0,26404.0,78655.0,15516.0,,140880.0,33350.0,52978.0,10522.0,23840.0,20190.0,144555.0,15513.0,574.0,34795.0,7214.0,16695.0,13406.0,11663.0,36992.0,666.0,5907.0,1130.0,
1982-10-01,272986.0,112521.0,18259.0,70882.0,17907.0,5473.0,149618.0,26165.0,123453.0,10847.0,,179235.0,84937.0,44419.0,19805.0,15276.0,14798.0,93751.0,1058.0,3851.0,21042.0,1249.0,50436.0,2774.0,3931.0,6345.0,0.0,1067.0,1998.0,
1982-11-01,414180.0,252228.0,12015.0,123409.0,100470.0,16334.0,161916.0,12407.0,149509.0,36.0,,155401.0,76502.0,26729.0,22823.0,19166.0,10181.0,258779.0,98098.0,13323.0,9169.0,146.0,9185.0,2207.0,42598.0,64499.0,69.0,6421.0,13064.0,
1982-12-01,624014.0,487792.0,165347.0,175592.0,130702.0,16151.0,136122.0,9017.0,127105.0,100.0,,238212.0,134098.0,49068.0,12537.0,30244.0,12265.0,385802.0,86482.0,8386.0,113487.0,1758.0,60267.0,21498.0,15961.0,27930.0,0.0,9492.0,40541.0,
1983-01-01,348856.0,215562.0,15600.0,40358.0,154025.0,5579.0,132809.0,4180.0,128629.0,485.0,,160094.0,104248.0,45059.0,1475.0,2218.0,7094.0,188762.0,14664.0,4815.0,8944.0,0.0,1342.0,19981.0,113322.0,2128.0,7647.0,15251.0,668.0,
1983-02-01,208569.0,142765.0,77013.0,26149.0,11604.0,27999.0,65405.0,26369.0,39036.0,399.0,,104808.0,19491.0,46294.0,12067.0,12400.0,14556.0,103761.0,4069.0,23142.0,19143.0,12678.0,11934.0,12387.0,3112.0,13223.0,0.0,1680.0,2393.0,
1983-03-01,403346.0,281530.0,106449.0,82987.0,70824.0,21270.0,119779.0,24482.0,95297.0,2037.0,,192308.0,55816.0,76640.0,5651.0,29960.0,24241.0,211038.0,6750.0,15142.0,70332.0,25427.0,7589.0,6152.0,19125.0,32219.0,1755.0,2887.0,23660.0,
1983-04-01,335287.0,231080.0,53984.0,77350.0,90251.0,9495.0,104134.0,37765.0,66369.0,73.0,,198587.0,75447.0,47463.0,15060.0,32294.0,28323.0,136700.0,4823.0,1382.0,31210.0,5775.0,22948.0,8055.0,16673.0,26193.0,1483.0,7625.0,10533.0,
1983-05-01,648399.0,329536.0,70074.0,180180.0,75408.0,3874.0,313330.0,30094.0,283236.0,5533.0,,379171.0,103548.0,175225.0,22388.0,32448.0,45562.0,269228.0,1438.0,1772.0,105842.0,1767.0,49904.0,8261.0,32576.0,61618.0,5.0,2728.0,3317.0,
1983-06-01,360001.0,252424.0,30164.0,71250.0,139098.0,11912.0,105932.0,32506.0,73426.0,1645.0,,142620.0,46847.0,23830.0,23789.0,26248.0,21906.0,217381.0,13241.0,9468.0,27546.0,582.0,27902.0,10293.0,8110.0,26968.0,494.0,91766.0,1011.0,
1983-07-01,335754.0,161613.0,16595.0,75066.0,62889.0,7063.0,173282.0,37376.0,135906.0,859.0,,213570.0,116798.0,31867.0,25850.0,22964.0,16091.0,122184.0,833.0,520.0,25529.0,3726.0,33804.0,12235.0,8360.0,21939.0,0.0,6722.0,8516.0,
1983-08-01,304345.0,167041.0,15783.0,83608.0,64106.0,3544.0,129560.0,31564.0,97996.0,7744.0,,180843.0,75068.0,50907.0,13456.0,28367.0,13045.0,123502.0,2700.0,281.0,16092.0,6001.0,6006.0,11517.0,17070.0,48821.0,0.0,3016.0,11998.0,
